#Receptor_resid	Ligand_resid
624	383
624	411
624	414
624	415
624	499
624	526
624	527
624	530
624	531
624	534
624	545
624	557
624	561
624	564
624	568
624	602
624	608
624	609
624	612
624	613
624	615
624	616
624	617
624	620
624	624
624	383
624	411
624	414
624	415
624	499
624	526
624	527
624	530
624	531
624	534
624	545
624	557
624	561
624	564
624	568
624	602
624	608
624	609
624	612
624	613
624	615
624	616
624	617
624	620
624	624
624	383
624	411
624	414
624	415
624	499
624	526
624	527
624	530
624	531
624	534
624	545
624	557
624	561
624	564
624	568
624	602
624	608
624	609
624	612
624	613
624	615
624	616
624	617
624	620
624	624
624	383
624	411
624	414
624	415
624	499
624	526
624	527
624	530
624	531
624	534
624	545
624	557
624	561
624	564
624	568
624	602
624	608
624	609
624	612
624	613
624	615
624	616
624	617
624	620
624	624
624	383
624	411
624	414
624	415
624	499
624	526
624	527
624	530
624	531
624	534
624	545
624	557
624	561
624	564
624	568
624	602
624	608
624	609
624	612
624	613
624	615
624	616
624	617
624	620
624	624
624	383
624	411
624	414
624	415
624	499
624	526
624	527
624	530
624	531
624	534
624	545
624	557
624	561
624	564
624	568
624	602
624	608
624	609
624	612
624	613
624	615
624	616
624	617
624	620
624	624
624	383
624	411
624	414
624	415
624	499
624	526
624	527
624	530
624	531
624	534
624	545
624	557
624	561
624	564
624	568
624	602
624	608
624	609
624	612
624	613
624	615
624	616
624	617
624	620
624	624
624	383
624	411
624	414
624	415
624	499
624	526
624	527
624	530
624	531
624	534
624	545
624	557
624	561
624	564
624	568
624	602
624	608
624	609
624	612
624	613
624	615
624	616
624	617
624	620
624	624
624	383
624	411
624	414
624	415
624	499
624	526
624	527
624	530
624	531
624	534
624	545
624	557
624	561
624	564
624	568
624	602
624	608
624	609
624	612
624	613
624	615
624	616
624	617
624	620
624	624
624	383
624	411
624	414
624	415
624	499
624	526
624	527
624	530
624	531
624	534
624	545
624	557
624	561
624	564
624	568
624	602
624	608
624	609
624	612
624	613
624	615
624	616
624	617
624	620
624	624
624	383
624	411
624	414
624	415
624	499
624	526
624	527
624	530
624	531
624	534
624	545
624	557
624	561
624	564
624	568
624	602
624	608
624	609
624	612
624	613
624	615
624	616
624	617
624	620
624	624
624	383
624	411
624	414
624	415
624	499
624	526
624	527
624	530
624	531
624	534
624	545
624	557
624	561
624	564
624	568
624	602
624	608
624	609
624	612
624	613
624	615
624	616
624	617
624	620
624	624
624	383
624	411
624	414
624	415
624	499
624	526
624	527
624	530
624	531
624	534
624	545
624	557
624	561
624	564
624	568
624	602
624	608
624	609
624	612
624	613
624	615
624	616
624	617
624	620
624	624
624	383
624	411
624	414
624	415
624	499
624	526
624	527
624	530
624	531
624	534
624	545
624	557
624	561
624	564
624	568
624	602
624	608
624	609
624	612
624	613
624	615
624	616
624	617
624	620
624	624
