#Receptor_resid	Ligand_resid
86	16
86	17
86	18
86	19
86	21
86	22
86	25
86	26
86	29
86	30
86	33
86	43
86	47
86	50
86	51
86	54
86	55
86	85
86	86
86	16
86	17
86	18
86	19
86	21
86	22
86	25
86	26
86	29
86	30
86	33
86	43
86	47
86	50
86	51
86	54
86	55
86	85
86	86
86	16
86	17
86	18
86	19
86	21
86	22
86	25
86	26
86	29
86	30
86	33
86	43
86	47
86	50
86	51
86	54
86	55
86	85
86	86
86	16
86	17
86	18
86	19
86	21
86	22
86	25
86	26
86	29
86	30
86	33
86	43
86	47
86	50
86	51
86	54
86	55
86	85
86	86
86	16
86	17
86	18
86	19
86	21
86	22
86	25
86	26
86	29
86	30
86	33
86	43
86	47
86	50
86	51
86	54
86	55
86	85
86	86
86	16
86	17
86	18
86	19
86	21
86	22
86	25
86	26
86	29
86	30
86	33
86	43
86	47
86	50
86	51
86	54
86	55
86	85
86	86
86	16
86	17
86	18
86	19
86	21
86	22
86	25
86	26
86	29
86	30
86	33
86	43
86	47
86	50
86	51
86	54
86	55
86	85
86	86
86	16
86	17
86	18
86	19
86	21
86	22
86	25
86	26
86	29
86	30
86	33
86	43
86	47
86	50
86	51
86	54
86	55
86	85
86	86
86	16
86	17
86	18
86	19
86	21
86	22
86	25
86	26
86	29
86	30
86	33
86	43
86	47
86	50
86	51
86	54
86	55
86	85
86	86
86	16
86	17
86	18
86	19
86	21
86	22
86	25
86	26
86	29
86	30
86	33
86	43
86	47
86	50
86	51
86	54
86	55
86	85
86	86
86	16
86	17
86	18
86	19
86	21
86	22
86	25
86	26
86	29
86	30
86	33
86	43
86	47
86	50
86	51
86	54
86	55
86	85
86	86
86	16
86	17
86	18
86	19
86	21
86	22
86	25
86	26
86	29
86	30
86	33
86	43
86	47
86	50
86	51
86	54
86	55
86	85
86	86
86	16
86	17
86	18
86	19
86	21
86	22
86	25
86	26
86	29
86	30
86	33
86	43
86	47
86	50
86	51
86	54
86	55
86	85
86	86
86	16
86	17
86	18
86	19
86	21
86	22
86	25
86	26
86	29
86	30
86	33
86	43
86	47
86	50
86	51
86	54
86	55
86	85
86	86
86	16
86	17
86	18
86	19
86	21
86	22
86	25
86	26
86	29
86	30
86	33
86	43
86	47
86	50
86	51
86	54
86	55
86	85
86	86
86	16
86	17
86	18
86	19
86	21
86	22
86	25
86	26
86	29
86	30
86	33
86	43
86	47
86	50
86	51
86	54
86	55
86	85
86	86
86	16
86	17
86	18
86	19
86	21
86	22
86	25
86	26
86	29
86	30
86	33
86	43
86	47
86	50
86	51
86	54
86	55
86	85
86	86
86	16
86	17
86	18
86	19
86	21
86	22
86	25
86	26
86	29
86	30
86	33
86	43
86	47
86	50
86	51
86	54
86	55
86	85
86	86
86	16
86	17
86	18
86	19
86	21
86	22
86	25
86	26
86	29
86	30
86	33
86	43
86	47
86	50
86	51
86	54
86	55
86	85
86	86
