#Receptor_resid	Ligand_resid
314	31
314	90
314	91
314	92
314	244
314	261
314	263
314	267
314	268
314	269
314	270
314	310
314	314
314	31
314	90
314	91
314	92
314	244
314	261
314	263
314	267
314	268
314	269
314	270
314	310
314	314
314	31
314	90
314	91
314	92
314	244
314	261
314	263
314	267
314	268
314	269
314	270
314	310
314	314
314	31
314	90
314	91
314	92
314	244
314	261
314	263
314	267
314	268
314	269
314	270
314	310
314	314
314	31
314	90
314	91
314	92
314	244
314	261
314	263
314	267
314	268
314	269
314	270
314	310
314	314
314	31
314	90
314	91
314	92
314	244
314	261
314	263
314	267
314	268
314	269
314	270
314	310
314	314
314	31
314	90
314	91
314	92
314	244
314	261
314	263
314	267
314	268
314	269
314	270
314	310
314	314
314	31
314	90
314	91
314	92
314	244
314	261
314	263
314	267
314	268
314	269
314	270
314	310
314	314
314	31
314	90
314	91
314	92
314	244
314	261
314	263
314	267
314	268
314	269
314	270
314	310
314	314
314	31
314	90
314	91
314	92
314	244
314	261
314	263
314	267
314	268
314	269
314	270
314	310
314	314
314	31
314	90
314	91
314	92
314	244
314	261
314	263
314	267
314	268
314	269
314	270
314	310
314	314
314	31
314	90
314	91
314	92
314	244
314	261
314	263
314	267
314	268
314	269
314	270
314	310
314	314
314	31
314	90
314	91
314	92
314	244
314	261
314	263
314	267
314	268
314	269
314	270
314	310
314	314
