#Receptor_resid	Ligand_resid
118	22
118	24
118	33
118	35
118	36
118	52
118	54
118	83
118	84
118	86
118	118
118	22
118	24
118	33
118	35
118	36
118	52
118	54
118	83
118	84
118	86
118	118
118	22
118	24
118	33
118	35
118	36
118	52
118	54
118	83
118	84
118	86
118	118
118	22
118	24
118	33
118	35
118	36
118	52
118	54
118	83
118	84
118	86
118	118
118	22
118	24
118	33
118	35
118	36
118	52
118	54
118	83
118	84
118	86
118	118
118	22
118	24
118	33
118	35
118	36
118	52
118	54
118	83
118	84
118	86
118	118
118	22
118	24
118	33
118	35
118	36
118	52
118	54
118	83
118	84
118	86
118	118
118	22
118	24
118	33
118	35
118	36
118	52
118	54
118	83
118	84
118	86
118	118
118	22
118	24
118	33
118	35
118	36
118	52
118	54
118	83
118	84
118	86
118	118
118	22
118	24
118	33
118	35
118	36
118	52
118	54
118	83
118	84
118	86
118	118
118	22
118	24
118	33
118	35
118	36
118	52
118	54
118	83
118	84
118	86
118	118
