#Receptor_resid	Ligand_resid
603	336
603	339
603	343
603	346
603	347
603	376
603	377
603	378
603	442
603	443
603	444
603	475
603	477
603	478
603	481
603	490
603	595
603	596
603	599
603	600
603	603
603	336
603	339
603	343
603	346
603	347
603	376
603	377
603	378
603	442
603	443
603	444
603	475
603	477
603	478
603	481
603	490
603	595
603	596
603	599
603	600
603	603
603	336
603	339
603	343
603	346
603	347
603	376
603	377
603	378
603	442
603	443
603	444
603	475
603	477
603	478
603	481
603	490
603	595
603	596
603	599
603	600
603	603
603	336
603	339
603	343
603	346
603	347
603	376
603	377
603	378
603	442
603	443
603	444
603	475
603	477
603	478
603	481
603	490
603	595
603	596
603	599
603	600
603	603
603	336
603	339
603	343
603	346
603	347
603	376
603	377
603	378
603	442
603	443
603	444
603	475
603	477
603	478
603	481
603	490
603	595
603	596
603	599
603	600
603	603
603	336
603	339
603	343
603	346
603	347
603	376
603	377
603	378
603	442
603	443
603	444
603	475
603	477
603	478
603	481
603	490
603	595
603	596
603	599
603	600
603	603
603	336
603	339
603	343
603	346
603	347
603	376
603	377
603	378
603	442
603	443
603	444
603	475
603	477
603	478
603	481
603	490
603	595
603	596
603	599
603	600
603	603
603	336
603	339
603	343
603	346
603	347
603	376
603	377
603	378
603	442
603	443
603	444
603	475
603	477
603	478
603	481
603	490
603	595
603	596
603	599
603	600
603	603
603	336
603	339
603	343
603	346
603	347
603	376
603	377
603	378
603	442
603	443
603	444
603	475
603	477
603	478
603	481
603	490
603	595
603	596
603	599
603	600
603	603
603	336
603	339
603	343
603	346
603	347
603	376
603	377
603	378
603	442
603	443
603	444
603	475
603	477
603	478
603	481
603	490
603	595
603	596
603	599
603	600
603	603
603	336
603	339
603	343
603	346
603	347
603	376
603	377
603	378
603	442
603	443
603	444
603	475
603	477
603	478
603	481
603	490
603	595
603	596
603	599
603	600
603	603
603	336
603	339
603	343
603	346
603	347
603	376
603	377
603	378
603	442
603	443
603	444
603	475
603	477
603	478
603	481
603	490
603	595
603	596
603	599
603	600
603	603
603	336
603	339
603	343
603	346
603	347
603	376
603	377
603	378
603	442
603	443
603	444
603	475
603	477
603	478
603	481
603	490
603	595
603	596
603	599
603	600
603	603
603	336
603	339
603	343
603	346
603	347
603	376
603	377
603	378
603	442
603	443
603	444
603	475
603	477
603	478
603	481
603	490
603	595
603	596
603	599
603	600
603	603
603	336
603	339
603	343
603	346
603	347
603	376
603	377
603	378
603	442
603	443
603	444
603	475
603	477
603	478
603	481
603	490
603	595
603	596
603	599
603	600
603	603
603	336
603	339
603	343
603	346
603	347
603	376
603	377
603	378
603	442
603	443
603	444
603	475
603	477
603	478
603	481
603	490
603	595
603	596
603	599
603	600
603	603
603	336
603	339
603	343
603	346
603	347
603	376
603	377
603	378
603	442
603	443
603	444
603	475
603	477
603	478
603	481
603	490
603	595
603	596
603	599
603	600
603	603
603	336
603	339
603	343
603	346
603	347
603	376
603	377
603	378
603	442
603	443
603	444
603	475
603	477
603	478
603	481
603	490
603	595
603	596
603	599
603	600
603	603
603	336
603	339
603	343
603	346
603	347
603	376
603	377
603	378
603	442
603	443
603	444
603	475
603	477
603	478
603	481
603	490
603	595
603	596
603	599
603	600
603	603
