#Receptor_resid	Ligand_resid
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
479	33
479	36
479	37
479	95
479	99
479	211
479	233
479	238
479	239
479	258
479	260
479	364
479	367
479	368
479	370
479	371
479	372
479	374
479	376
479	377
479	378
479	380
479	388
479	465
479	466
479	477
479	479
