#Receptor_resid	Ligand_resid
236	179
236	180
236	181
236	182
236	183
236	184
236	185
236	204
236	206
236	207
236	209
236	210
236	213
236	235
236	236
236	179
236	180
236	181
236	182
236	183
236	184
236	185
236	204
236	206
236	207
236	209
236	210
236	213
236	235
236	236
236	179
236	180
236	181
236	182
236	183
236	184
236	185
236	204
236	206
236	207
236	209
236	210
236	213
236	235
236	236
236	179
236	180
236	181
236	182
236	183
236	184
236	185
236	204
236	206
236	207
236	209
236	210
236	213
236	235
236	236
236	179
236	180
236	181
236	182
236	183
236	184
236	185
236	204
236	206
236	207
236	209
236	210
236	213
236	235
236	236
236	179
236	180
236	181
236	182
236	183
236	184
236	185
236	204
236	206
236	207
236	209
236	210
236	213
236	235
236	236
236	179
236	180
236	181
236	182
236	183
236	184
236	185
236	204
236	206
236	207
236	209
236	210
236	213
236	235
236	236
236	179
236	180
236	181
236	182
236	183
236	184
236	185
236	204
236	206
236	207
236	209
236	210
236	213
236	235
236	236
236	179
236	180
236	181
236	182
236	183
236	184
236	185
236	204
236	206
236	207
236	209
236	210
236	213
236	235
236	236
236	179
236	180
236	181
236	182
236	183
236	184
236	185
236	204
236	206
236	207
236	209
236	210
236	213
236	235
236	236
236	179
236	180
236	181
236	182
236	183
236	184
236	185
236	204
236	206
236	207
236	209
236	210
236	213
236	235
236	236
236	179
236	180
236	181
236	182
236	183
236	184
236	185
236	204
236	206
236	207
236	209
236	210
236	213
236	235
236	236
236	179
236	180
236	181
236	182
236	183
236	184
236	185
236	204
236	206
236	207
236	209
236	210
236	213
236	235
236	236
236	179
236	180
236	181
236	182
236	183
236	184
236	185
236	204
236	206
236	207
236	209
236	210
236	213
236	235
236	236
236	179
236	180
236	181
236	182
236	183
236	184
236	185
236	204
236	206
236	207
236	209
236	210
236	213
236	235
236	236
236	179
236	180
236	181
236	182
236	183
236	184
236	185
236	204
236	206
236	207
236	209
236	210
236	213
236	235
236	236
236	179
236	180
236	181
236	182
236	183
236	184
236	185
236	204
236	206
236	207
236	209
236	210
236	213
236	235
236	236
236	179
236	180
236	181
236	182
236	183
236	184
236	185
236	204
236	206
236	207
236	209
236	210
236	213
236	235
236	236
