#Receptor_resid	Ligand_resid
188	27
188	29
188	43
188	44
188	45
188	48
188	49
188	50
188	56
188	59
188	95
188	149
188	151
188	152
188	156
188	157
188	159
188	184
188	185
188	186
188	188
188	27
188	29
188	43
188	44
188	45
188	48
188	49
188	50
188	56
188	59
188	95
188	149
188	151
188	152
188	156
188	157
188	159
188	184
188	185
188	186
188	188
188	27
188	29
188	43
188	44
188	45
188	48
188	49
188	50
188	56
188	59
188	95
188	149
188	151
188	152
188	156
188	157
188	159
188	184
188	185
188	186
188	188
188	27
188	29
188	43
188	44
188	45
188	48
188	49
188	50
188	56
188	59
188	95
188	149
188	151
188	152
188	156
188	157
188	159
188	184
188	185
188	186
188	188
188	27
188	29
188	43
188	44
188	45
188	48
188	49
188	50
188	56
188	59
188	95
188	149
188	151
188	152
188	156
188	157
188	159
188	184
188	185
188	186
188	188
188	27
188	29
188	43
188	44
188	45
188	48
188	49
188	50
188	56
188	59
188	95
188	149
188	151
188	152
188	156
188	157
188	159
188	184
188	185
188	186
188	188
188	27
188	29
188	43
188	44
188	45
188	48
188	49
188	50
188	56
188	59
188	95
188	149
188	151
188	152
188	156
188	157
188	159
188	184
188	185
188	186
188	188
188	27
188	29
188	43
188	44
188	45
188	48
188	49
188	50
188	56
188	59
188	95
188	149
188	151
188	152
188	156
188	157
188	159
188	184
188	185
188	186
188	188
188	27
188	29
188	43
188	44
188	45
188	48
188	49
188	50
188	56
188	59
188	95
188	149
188	151
188	152
188	156
188	157
188	159
188	184
188	185
188	186
188	188
188	27
188	29
188	43
188	44
188	45
188	48
188	49
188	50
188	56
188	59
188	95
188	149
188	151
188	152
188	156
188	157
188	159
188	184
188	185
188	186
188	188
188	27
188	29
188	43
188	44
188	45
188	48
188	49
188	50
188	56
188	59
188	95
188	149
188	151
188	152
188	156
188	157
188	159
188	184
188	185
188	186
188	188
188	27
188	29
188	43
188	44
188	45
188	48
188	49
188	50
188	56
188	59
188	95
188	149
188	151
188	152
188	156
188	157
188	159
188	184
188	185
188	186
188	188
188	27
188	29
188	43
188	44
188	45
188	48
188	49
188	50
188	56
188	59
188	95
188	149
188	151
188	152
188	156
188	157
188	159
188	184
188	185
188	186
188	188
188	27
188	29
188	43
188	44
188	45
188	48
188	49
188	50
188	56
188	59
188	95
188	149
188	151
188	152
188	156
188	157
188	159
188	184
188	185
188	186
188	188
