#Receptor_resid	Ligand_resid
1358	1199
1358	1223
1358	1224
1358	1225
1358	1226
1358	1227
1358	1229
1358	1230
1358	1358
1358	1199
1358	1223
1358	1224
1358	1225
1358	1226
1358	1227
1358	1229
1358	1230
1358	1358
1358	1199
1358	1223
1358	1224
1358	1225
1358	1226
1358	1227
1358	1229
1358	1230
1358	1358
1358	1199
1358	1223
1358	1224
1358	1225
1358	1226
1358	1227
1358	1229
1358	1230
1358	1358
1358	1199
1358	1223
1358	1224
1358	1225
1358	1226
1358	1227
1358	1229
1358	1230
1358	1358
1358	1199
1358	1223
1358	1224
1358	1225
1358	1226
1358	1227
1358	1229
1358	1230
1358	1358
1358	1199
1358	1223
1358	1224
1358	1225
1358	1226
1358	1227
1358	1229
1358	1230
1358	1358
1358	1199
1358	1223
1358	1224
1358	1225
1358	1226
1358	1227
1358	1229
1358	1230
1358	1358
1358	1199
1358	1223
1358	1224
1358	1225
1358	1226
1358	1227
1358	1229
1358	1230
1358	1358
1358	1199
1358	1223
1358	1224
1358	1225
1358	1226
1358	1227
1358	1229
1358	1230
1358	1358
1358	1199
1358	1223
1358	1224
1358	1225
1358	1226
1358	1227
1358	1229
1358	1230
1358	1358
1358	1199
1358	1223
1358	1224
1358	1225
1358	1226
1358	1227
1358	1229
1358	1230
1358	1358
1358	1199
1358	1223
1358	1224
1358	1225
1358	1226
1358	1227
1358	1229
1358	1230
1358	1358
1358	1199
1358	1223
1358	1224
1358	1225
1358	1226
1358	1227
1358	1229
1358	1230
1358	1358
1358	1199
1358	1223
1358	1224
1358	1225
1358	1226
1358	1227
1358	1229
1358	1230
1358	1358
