#Receptor_resid	Ligand_resid
402	179
402	180
402	183
402	196
402	198
402	201
402	223
402	224
402	227
402	242
402	268
402	270
402	271
402	286
402	291
402	314
402	315
402	328
402	335
402	354
402	355
402	357
402	358
402	375
402	402
402	179
402	180
402	183
402	196
402	198
402	201
402	223
402	224
402	227
402	242
402	268
402	270
402	271
402	286
402	291
402	314
402	315
402	328
402	335
402	354
402	355
402	357
402	358
402	375
402	402
402	179
402	180
402	183
402	196
402	198
402	201
402	223
402	224
402	227
402	242
402	268
402	270
402	271
402	286
402	291
402	314
402	315
402	328
402	335
402	354
402	355
402	357
402	358
402	375
402	402
402	179
402	180
402	183
402	196
402	198
402	201
402	223
402	224
402	227
402	242
402	268
402	270
402	271
402	286
402	291
402	314
402	315
402	328
402	335
402	354
402	355
402	357
402	358
402	375
402	402
402	179
402	180
402	183
402	196
402	198
402	201
402	223
402	224
402	227
402	242
402	268
402	270
402	271
402	286
402	291
402	314
402	315
402	328
402	335
402	354
402	355
402	357
402	358
402	375
402	402
402	179
402	180
402	183
402	196
402	198
402	201
402	223
402	224
402	227
402	242
402	268
402	270
402	271
402	286
402	291
402	314
402	315
402	328
402	335
402	354
402	355
402	357
402	358
402	375
402	402
402	179
402	180
402	183
402	196
402	198
402	201
402	223
402	224
402	227
402	242
402	268
402	270
402	271
402	286
402	291
402	314
402	315
402	328
402	335
402	354
402	355
402	357
402	358
402	375
402	402
402	179
402	180
402	183
402	196
402	198
402	201
402	223
402	224
402	227
402	242
402	268
402	270
402	271
402	286
402	291
402	314
402	315
402	328
402	335
402	354
402	355
402	357
402	358
402	375
402	402
402	179
402	180
402	183
402	196
402	198
402	201
402	223
402	224
402	227
402	242
402	268
402	270
402	271
402	286
402	291
402	314
402	315
402	328
402	335
402	354
402	355
402	357
402	358
402	375
402	402
402	179
402	180
402	183
402	196
402	198
402	201
402	223
402	224
402	227
402	242
402	268
402	270
402	271
402	286
402	291
402	314
402	315
402	328
402	335
402	354
402	355
402	357
402	358
402	375
402	402
402	179
402	180
402	183
402	196
402	198
402	201
402	223
402	224
402	227
402	242
402	268
402	270
402	271
402	286
402	291
402	314
402	315
402	328
402	335
402	354
402	355
402	357
402	358
402	375
402	402
402	179
402	180
402	183
402	196
402	198
402	201
402	223
402	224
402	227
402	242
402	268
402	270
402	271
402	286
402	291
402	314
402	315
402	328
402	335
402	354
402	355
402	357
402	358
402	375
402	402
402	179
402	180
402	183
402	196
402	198
402	201
402	223
402	224
402	227
402	242
402	268
402	270
402	271
402	286
402	291
402	314
402	315
402	328
402	335
402	354
402	355
402	357
402	358
402	375
402	402
402	179
402	180
402	183
402	196
402	198
402	201
402	223
402	224
402	227
402	242
402	268
402	270
402	271
402	286
402	291
402	314
402	315
402	328
402	335
402	354
402	355
402	357
402	358
402	375
402	402
402	179
402	180
402	183
402	196
402	198
402	201
402	223
402	224
402	227
402	242
402	268
402	270
402	271
402	286
402	291
402	314
402	315
402	328
402	335
402	354
402	355
402	357
402	358
402	375
402	402
402	179
402	180
402	183
402	196
402	198
402	201
402	223
402	224
402	227
402	242
402	268
402	270
402	271
402	286
402	291
402	314
402	315
402	328
402	335
402	354
402	355
402	357
402	358
402	375
402	402
402	179
402	180
402	183
402	196
402	198
402	201
402	223
402	224
402	227
402	242
402	268
402	270
402	271
402	286
402	291
402	314
402	315
402	328
402	335
402	354
402	355
402	357
402	358
402	375
402	402
402	179
402	180
402	183
402	196
402	198
402	201
402	223
402	224
402	227
402	242
402	268
402	270
402	271
402	286
402	291
402	314
402	315
402	328
402	335
402	354
402	355
402	357
402	358
402	375
402	402
402	179
402	180
402	183
402	196
402	198
402	201
402	223
402	224
402	227
402	242
402	268
402	270
402	271
402	286
402	291
402	314
402	315
402	328
402	335
402	354
402	355
402	357
402	358
402	375
402	402
