#Receptor_resid	Ligand_resid
174	124
174	125
174	126
174	127
174	133
174	159
174	162
174	163
174	166
174	170
174	173
174	174
174	124
174	125
174	126
174	127
174	133
174	159
174	162
174	163
174	166
174	170
174	173
174	174
174	124
174	125
174	126
174	127
174	133
174	159
174	162
174	163
174	166
174	170
174	173
174	174
174	124
174	125
174	126
174	127
174	133
174	159
174	162
174	163
174	166
174	170
174	173
174	174
174	124
174	125
174	126
174	127
174	133
174	159
174	162
174	163
174	166
174	170
174	173
174	174
174	124
174	125
174	126
174	127
174	133
174	159
174	162
174	163
174	166
174	170
174	173
174	174
174	124
174	125
174	126
174	127
174	133
174	159
174	162
174	163
174	166
174	170
174	173
174	174
174	124
174	125
174	126
174	127
174	133
174	159
174	162
174	163
174	166
174	170
174	173
174	174
174	124
174	125
174	126
174	127
174	133
174	159
174	162
174	163
174	166
174	170
174	173
174	174
174	124
174	125
174	126
174	127
174	133
174	159
174	162
174	163
174	166
174	170
174	173
174	174
174	124
174	125
174	126
174	127
174	133
174	159
174	162
174	163
174	166
174	170
174	173
174	174
174	124
174	125
174	126
174	127
174	133
174	159
174	162
174	163
174	166
174	170
174	173
174	174
174	124
174	125
174	126
174	127
174	133
174	159
174	162
174	163
174	166
174	170
174	173
174	174
174	124
174	125
174	126
174	127
174	133
174	159
174	162
174	163
174	166
174	170
174	173
174	174
