#Receptor_resid	Ligand_resid
100	30
100	35
100	61
100	86
100	87
100	88
100	89
100	90
100	91
100	92
100	93
100	100
100	30
100	35
100	61
100	86
100	87
100	88
100	89
100	90
100	91
100	92
100	93
100	100
100	30
100	35
100	61
100	86
100	87
100	88
100	89
100	90
100	91
100	92
100	93
100	100
100	30
100	35
100	61
100	86
100	87
100	88
100	89
100	90
100	91
100	92
100	93
100	100
100	30
100	35
100	61
100	86
100	87
100	88
100	89
100	90
100	91
100	92
100	93
100	100
100	30
100	35
100	61
100	86
100	87
100	88
100	89
100	90
100	91
100	92
100	93
100	100
100	30
100	35
100	61
100	86
100	87
100	88
100	89
100	90
100	91
100	92
100	93
100	100
100	30
100	35
100	61
100	86
100	87
100	88
100	89
100	90
100	91
100	92
100	93
100	100
100	30
100	35
100	61
100	86
100	87
100	88
100	89
100	90
100	91
100	92
100	93
100	100
100	30
100	35
100	61
100	86
100	87
100	88
100	89
100	90
100	91
100	92
100	93
100	100
100	30
100	35
100	61
100	86
100	87
100	88
100	89
100	90
100	91
100	92
100	93
100	100
100	30
100	35
100	61
100	86
100	87
100	88
100	89
100	90
100	91
100	92
100	93
100	100
100	30
100	35
100	61
100	86
100	87
100	88
100	89
100	90
100	91
100	92
100	93
100	100
100	30
100	35
100	61
100	86
100	87
100	88
100	89
100	90
100	91
100	92
100	93
100	100
100	30
100	35
100	61
100	86
100	87
100	88
100	89
100	90
100	91
100	92
100	93
100	100
100	30
100	35
100	61
100	86
100	87
100	88
100	89
100	90
100	91
100	92
100	93
100	100
100	30
100	35
100	61
100	86
100	87
100	88
100	89
100	90
100	91
100	92
100	93
100	100
100	30
100	35
100	61
100	86
100	87
100	88
100	89
100	90
100	91
100	92
100	93
100	100
100	30
100	35
100	61
100	86
100	87
100	88
100	89
100	90
100	91
100	92
100	93
100	100
100	30
100	35
100	61
100	86
100	87
100	88
100	89
100	90
100	91
100	92
100	93
100	100
