#Receptor_resid	Ligand_resid
255	25
255	27
255	31
255	33
255	36
255	38
255	40
255	42
255	50
255	53
255	55
255	57
255	62
255	66
255	67
255	68
255	101
255	126
255	127
255	138
255	139
255	140
255	141
255	144
255	150
255	166
255	168
255	254
255	255
255	25
255	27
255	31
255	33
255	36
255	38
255	40
255	42
255	50
255	53
255	55
255	57
255	62
255	66
255	67
255	68
255	101
255	126
255	127
255	138
255	139
255	140
255	141
255	144
255	150
255	166
255	168
255	254
255	255
255	25
255	27
255	31
255	33
255	36
255	38
255	40
255	42
255	50
255	53
255	55
255	57
255	62
255	66
255	67
255	68
255	101
255	126
255	127
255	138
255	139
255	140
255	141
255	144
255	150
255	166
255	168
255	254
255	255
255	25
255	27
255	31
255	33
255	36
255	38
255	40
255	42
255	50
255	53
255	55
255	57
255	62
255	66
255	67
255	68
255	101
255	126
255	127
255	138
255	139
255	140
255	141
255	144
255	150
255	166
255	168
255	254
255	255
255	25
255	27
255	31
255	33
255	36
255	38
255	40
255	42
255	50
255	53
255	55
255	57
255	62
255	66
255	67
255	68
255	101
255	126
255	127
255	138
255	139
255	140
255	141
255	144
255	150
255	166
255	168
255	254
255	255
255	25
255	27
255	31
255	33
255	36
255	38
255	40
255	42
255	50
255	53
255	55
255	57
255	62
255	66
255	67
255	68
255	101
255	126
255	127
255	138
255	139
255	140
255	141
255	144
255	150
255	166
255	168
255	254
255	255
255	25
255	27
255	31
255	33
255	36
255	38
255	40
255	42
255	50
255	53
255	55
255	57
255	62
255	66
255	67
255	68
255	101
255	126
255	127
255	138
255	139
255	140
255	141
255	144
255	150
255	166
255	168
255	254
255	255
255	25
255	27
255	31
255	33
255	36
255	38
255	40
255	42
255	50
255	53
255	55
255	57
255	62
255	66
255	67
255	68
255	101
255	126
255	127
255	138
255	139
255	140
255	141
255	144
255	150
255	166
255	168
255	254
255	255
255	25
255	27
255	31
255	33
255	36
255	38
255	40
255	42
255	50
255	53
255	55
255	57
255	62
255	66
255	67
255	68
255	101
255	126
255	127
255	138
255	139
255	140
255	141
255	144
255	150
255	166
255	168
255	254
255	255
255	25
255	27
255	31
255	33
255	36
255	38
255	40
255	42
255	50
255	53
255	55
255	57
255	62
255	66
255	67
255	68
255	101
255	126
255	127
255	138
255	139
255	140
255	141
255	144
255	150
255	166
255	168
255	254
255	255
255	25
255	27
255	31
255	33
255	36
255	38
255	40
255	42
255	50
255	53
255	55
255	57
255	62
255	66
255	67
255	68
255	101
255	126
255	127
255	138
255	139
255	140
255	141
255	144
255	150
255	166
255	168
255	254
255	255
255	25
255	27
255	31
255	33
255	36
255	38
255	40
255	42
255	50
255	53
255	55
255	57
255	62
255	66
255	67
255	68
255	101
255	126
255	127
255	138
255	139
255	140
255	141
255	144
255	150
255	166
255	168
255	254
255	255
255	25
255	27
255	31
255	33
255	36
255	38
255	40
255	42
255	50
255	53
255	55
255	57
255	62
255	66
255	67
255	68
255	101
255	126
255	127
255	138
255	139
255	140
255	141
255	144
255	150
255	166
255	168
255	254
255	255
255	25
255	27
255	31
255	33
255	36
255	38
255	40
255	42
255	50
255	53
255	55
255	57
255	62
255	66
255	67
255	68
255	101
255	126
255	127
255	138
255	139
255	140
255	141
255	144
255	150
255	166
255	168
255	254
255	255
255	25
255	27
255	31
255	33
255	36
255	38
255	40
255	42
255	50
255	53
255	55
255	57
255	62
255	66
255	67
255	68
255	101
255	126
255	127
255	138
255	139
255	140
255	141
255	144
255	150
255	166
255	168
255	254
255	255
255	25
255	27
255	31
255	33
255	36
255	38
255	40
255	42
255	50
255	53
255	55
255	57
255	62
255	66
255	67
255	68
255	101
255	126
255	127
255	138
255	139
255	140
255	141
255	144
255	150
255	166
255	168
255	254
255	255
255	25
255	27
255	31
255	33
255	36
255	38
255	40
255	42
255	50
255	53
255	55
255	57
255	62
255	66
255	67
255	68
255	101
255	126
255	127
255	138
255	139
255	140
255	141
255	144
255	150
255	166
255	168
255	254
255	255
255	25
255	27
255	31
255	33
255	36
255	38
255	40
255	42
255	50
255	53
255	55
255	57
255	62
255	66
255	67
255	68
255	101
255	126
255	127
255	138
255	139
255	140
255	141
255	144
255	150
255	166
255	168
255	254
255	255
