#Receptor_resid	Ligand_resid
165	57
165	58
165	60
165	63
165	69
165	70
165	71
165	72
165	165
165	57
165	58
165	60
165	63
165	69
165	70
165	71
165	72
165	165
165	57
165	58
165	60
165	63
165	69
165	70
165	71
165	72
165	165
165	57
165	58
165	60
165	63
165	69
165	70
165	71
165	72
165	165
165	57
165	58
165	60
165	63
165	69
165	70
165	71
165	72
165	165
165	57
165	58
165	60
165	63
165	69
165	70
165	71
165	72
165	165
165	57
165	58
165	60
165	63
165	69
165	70
165	71
165	72
165	165
165	57
165	58
165	60
165	63
165	69
165	70
165	71
165	72
165	165
165	57
165	58
165	60
165	63
165	69
165	70
165	71
165	72
165	165
165	57
165	58
165	60
165	63
165	69
165	70
165	71
165	72
165	165
165	57
165	58
165	60
165	63
165	69
165	70
165	71
165	72
165	165
165	57
165	58
165	60
165	63
165	69
165	70
165	71
165	72
165	165
165	57
165	58
165	60
165	63
165	69
165	70
165	71
165	72
165	165
