#Receptor_resid	Ligand_resid
240	171
240	172
240	179
240	180
240	181
240	182
240	183
240	184
240	185
240	186
240	210
240	215
240	218
240	219
240	222
240	227
240	228
240	230
240	238
240	239
240	240
240	171
240	172
240	179
240	180
240	181
240	182
240	183
240	184
240	185
240	186
240	210
240	215
240	218
240	219
240	222
240	227
240	228
240	230
240	238
240	239
240	240
240	171
240	172
240	179
240	180
240	181
240	182
240	183
240	184
240	185
240	186
240	210
240	215
240	218
240	219
240	222
240	227
240	228
240	230
240	238
240	239
240	240
240	171
240	172
240	179
240	180
240	181
240	182
240	183
240	184
240	185
240	186
240	210
240	215
240	218
240	219
240	222
240	227
240	228
240	230
240	238
240	239
240	240
240	171
240	172
240	179
240	180
240	181
240	182
240	183
240	184
240	185
240	186
240	210
240	215
240	218
240	219
240	222
240	227
240	228
240	230
240	238
240	239
240	240
240	171
240	172
240	179
240	180
240	181
240	182
240	183
240	184
240	185
240	186
240	210
240	215
240	218
240	219
240	222
240	227
240	228
240	230
240	238
240	239
240	240
240	171
240	172
240	179
240	180
240	181
240	182
240	183
240	184
240	185
240	186
240	210
240	215
240	218
240	219
240	222
240	227
240	228
240	230
240	238
240	239
240	240
240	171
240	172
240	179
240	180
240	181
240	182
240	183
240	184
240	185
240	186
240	210
240	215
240	218
240	219
240	222
240	227
240	228
240	230
240	238
240	239
240	240
240	171
240	172
240	179
240	180
240	181
240	182
240	183
240	184
240	185
240	186
240	210
240	215
240	218
240	219
240	222
240	227
240	228
240	230
240	238
240	239
240	240
240	171
240	172
240	179
240	180
240	181
240	182
240	183
240	184
240	185
240	186
240	210
240	215
240	218
240	219
240	222
240	227
240	228
240	230
240	238
240	239
240	240
240	171
240	172
240	179
240	180
240	181
240	182
240	183
240	184
240	185
240	186
240	210
240	215
240	218
240	219
240	222
240	227
240	228
240	230
240	238
240	239
240	240
240	171
240	172
240	179
240	180
240	181
240	182
240	183
240	184
240	185
240	186
240	210
240	215
240	218
240	219
240	222
240	227
240	228
240	230
240	238
240	239
240	240
240	171
240	172
240	179
240	180
240	181
240	182
240	183
240	184
240	185
240	186
240	210
240	215
240	218
240	219
240	222
240	227
240	228
240	230
240	238
240	239
240	240
