#Receptor_resid	Ligand_resid
274	36
274	40
274	42
274	45
274	107
274	108
274	138
274	139
274	140
274	143
274	192
274	193
274	194
274	221
274	222
274	223
274	224
274	225
274	246
274	248
274	249
274	250
274	274
274	36
274	40
274	42
274	45
274	107
274	108
274	138
274	139
274	140
274	143
274	192
274	193
274	194
274	221
274	222
274	223
274	224
274	225
274	246
274	248
274	249
274	250
274	274
274	36
274	40
274	42
274	45
274	107
274	108
274	138
274	139
274	140
274	143
274	192
274	193
274	194
274	221
274	222
274	223
274	224
274	225
274	246
274	248
274	249
274	250
274	274
274	36
274	40
274	42
274	45
274	107
274	108
274	138
274	139
274	140
274	143
274	192
274	193
274	194
274	221
274	222
274	223
274	224
274	225
274	246
274	248
274	249
274	250
274	274
274	36
274	40
274	42
274	45
274	107
274	108
274	138
274	139
274	140
274	143
274	192
274	193
274	194
274	221
274	222
274	223
274	224
274	225
274	246
274	248
274	249
274	250
274	274
274	36
274	40
274	42
274	45
274	107
274	108
274	138
274	139
274	140
274	143
274	192
274	193
274	194
274	221
274	222
274	223
274	224
274	225
274	246
274	248
274	249
274	250
274	274
274	36
274	40
274	42
274	45
274	107
274	108
274	138
274	139
274	140
274	143
274	192
274	193
274	194
274	221
274	222
274	223
274	224
274	225
274	246
274	248
274	249
274	250
274	274
274	36
274	40
274	42
274	45
274	107
274	108
274	138
274	139
274	140
274	143
274	192
274	193
274	194
274	221
274	222
274	223
274	224
274	225
274	246
274	248
274	249
274	250
274	274
274	36
274	40
274	42
274	45
274	107
274	108
274	138
274	139
274	140
274	143
274	192
274	193
274	194
274	221
274	222
274	223
274	224
274	225
274	246
274	248
274	249
274	250
274	274
274	36
274	40
274	42
274	45
274	107
274	108
274	138
274	139
274	140
274	143
274	192
274	193
274	194
274	221
274	222
274	223
274	224
274	225
274	246
274	248
274	249
274	250
274	274
274	36
274	40
274	42
274	45
274	107
274	108
274	138
274	139
274	140
274	143
274	192
274	193
274	194
274	221
274	222
274	223
274	224
274	225
274	246
274	248
274	249
274	250
274	274
274	36
274	40
274	42
274	45
274	107
274	108
274	138
274	139
274	140
274	143
274	192
274	193
274	194
274	221
274	222
274	223
274	224
274	225
274	246
274	248
274	249
274	250
274	274
274	36
274	40
274	42
274	45
274	107
274	108
274	138
274	139
274	140
274	143
274	192
274	193
274	194
274	221
274	222
274	223
274	224
274	225
274	246
274	248
274	249
274	250
274	274
274	36
274	40
274	42
274	45
274	107
274	108
274	138
274	139
274	140
274	143
274	192
274	193
274	194
274	221
274	222
274	223
274	224
274	225
274	246
274	248
274	249
274	250
274	274
274	36
274	40
274	42
274	45
274	107
274	108
274	138
274	139
274	140
274	143
274	192
274	193
274	194
274	221
274	222
274	223
274	224
274	225
274	246
274	248
274	249
274	250
274	274
274	36
274	40
274	42
274	45
274	107
274	108
274	138
274	139
274	140
274	143
274	192
274	193
274	194
274	221
274	222
274	223
274	224
274	225
274	246
274	248
274	249
274	250
274	274
274	36
274	40
274	42
274	45
274	107
274	108
274	138
274	139
274	140
274	143
274	192
274	193
274	194
274	221
274	222
274	223
274	224
274	225
274	246
274	248
274	249
274	250
274	274
274	36
274	40
274	42
274	45
274	107
274	108
274	138
274	139
274	140
274	143
274	192
274	193
274	194
274	221
274	222
274	223
274	224
274	225
274	246
274	248
274	249
274	250
274	274
274	36
274	40
274	42
274	45
274	107
274	108
274	138
274	139
274	140
274	143
274	192
274	193
274	194
274	221
274	222
274	223
274	224
274	225
274	246
274	248
274	249
274	250
274	274
274	36
274	40
274	42
274	45
274	107
274	108
274	138
274	139
274	140
274	143
274	192
274	193
274	194
274	221
274	222
274	223
274	224
274	225
274	246
274	248
274	249
274	250
274	274
274	36
274	40
274	42
274	45
274	107
274	108
274	138
274	139
274	140
274	143
274	192
274	193
274	194
274	221
274	222
274	223
274	224
274	225
274	246
274	248
274	249
274	250
274	274
274	36
274	40
274	42
274	45
274	107
274	108
274	138
274	139
274	140
274	143
274	192
274	193
274	194
274	221
274	222
274	223
274	224
274	225
274	246
274	248
274	249
274	250
274	274
274	36
274	40
274	42
274	45
274	107
274	108
274	138
274	139
274	140
274	143
274	192
274	193
274	194
274	221
274	222
274	223
274	224
274	225
274	246
274	248
274	249
274	250
274	274
274	36
274	40
274	42
274	45
274	107
274	108
274	138
274	139
274	140
274	143
274	192
274	193
274	194
274	221
274	222
274	223
274	224
274	225
274	246
274	248
274	249
274	250
274	274
274	36
274	40
274	42
274	45
274	107
274	108
274	138
274	139
274	140
274	143
274	192
274	193
274	194
274	221
274	222
274	223
274	224
274	225
274	246
274	248
274	249
274	250
274	274
274	36
274	40
274	42
274	45
274	107
274	108
274	138
274	139
274	140
274	143
274	192
274	193
274	194
274	221
274	222
274	223
274	224
274	225
274	246
274	248
274	249
274	250
274	274
