#Receptor_resid	Ligand_resid
321	31
321	32
321	33
321	37
321	55
321	96
321	97
321	101
321	247
321	248
321	250
321	267
321	269
321	270
321	271
321	272
321	274
321	317
321	318
321	319
321	321
321	31
321	32
321	33
321	37
321	55
321	96
321	97
321	101
321	247
321	248
321	250
321	267
321	269
321	270
321	271
321	272
321	274
321	317
321	318
321	319
321	321
321	31
321	32
321	33
321	37
321	55
321	96
321	97
321	101
321	247
321	248
321	250
321	267
321	269
321	270
321	271
321	272
321	274
321	317
321	318
321	319
321	321
321	31
321	32
321	33
321	37
321	55
321	96
321	97
321	101
321	247
321	248
321	250
321	267
321	269
321	270
321	271
321	272
321	274
321	317
321	318
321	319
321	321
321	31
321	32
321	33
321	37
321	55
321	96
321	97
321	101
321	247
321	248
321	250
321	267
321	269
321	270
321	271
321	272
321	274
321	317
321	318
321	319
321	321
321	31
321	32
321	33
321	37
321	55
321	96
321	97
321	101
321	247
321	248
321	250
321	267
321	269
321	270
321	271
321	272
321	274
321	317
321	318
321	319
321	321
321	31
321	32
321	33
321	37
321	55
321	96
321	97
321	101
321	247
321	248
321	250
321	267
321	269
321	270
321	271
321	272
321	274
321	317
321	318
321	319
321	321
321	31
321	32
321	33
321	37
321	55
321	96
321	97
321	101
321	247
321	248
321	250
321	267
321	269
321	270
321	271
321	272
321	274
321	317
321	318
321	319
321	321
321	31
321	32
321	33
321	37
321	55
321	96
321	97
321	101
321	247
321	248
321	250
321	267
321	269
321	270
321	271
321	272
321	274
321	317
321	318
321	319
321	321
321	31
321	32
321	33
321	37
321	55
321	96
321	97
321	101
321	247
321	248
321	250
321	267
321	269
321	270
321	271
321	272
321	274
321	317
321	318
321	319
321	321
321	31
321	32
321	33
321	37
321	55
321	96
321	97
321	101
321	247
321	248
321	250
321	267
321	269
321	270
321	271
321	272
321	274
321	317
321	318
321	319
321	321
321	31
321	32
321	33
321	37
321	55
321	96
321	97
321	101
321	247
321	248
321	250
321	267
321	269
321	270
321	271
321	272
321	274
321	317
321	318
321	319
321	321
321	31
321	32
321	33
321	37
321	55
321	96
321	97
321	101
321	247
321	248
321	250
321	267
321	269
321	270
321	271
321	272
321	274
321	317
321	318
321	319
321	321
321	31
321	32
321	33
321	37
321	55
321	96
321	97
321	101
321	247
321	248
321	250
321	267
321	269
321	270
321	271
321	272
321	274
321	317
321	318
321	319
321	321
321	31
321	32
321	33
321	37
321	55
321	96
321	97
321	101
321	247
321	248
321	250
321	267
321	269
321	270
321	271
321	272
321	274
321	317
321	318
321	319
321	321
