#Receptor_resid	Ligand_resid
684	54
684	58
684	71
684	100
684	101
684	102
684	108
684	127
684	643
684	645
684	667
684	684
684	54
684	58
684	71
684	100
684	101
684	102
684	108
684	127
684	643
684	645
684	667
684	684
684	54
684	58
684	71
684	100
684	101
684	102
684	108
684	127
684	643
684	645
684	667
684	684
684	54
684	58
684	71
684	100
684	101
684	102
684	108
684	127
684	643
684	645
684	667
684	684
684	54
684	58
684	71
684	100
684	101
684	102
684	108
684	127
684	643
684	645
684	667
684	684
684	54
684	58
684	71
684	100
684	101
684	102
684	108
684	127
684	643
684	645
684	667
684	684
684	54
684	58
684	71
684	100
684	101
684	102
684	108
684	127
684	643
684	645
684	667
684	684
684	54
684	58
684	71
684	100
684	101
684	102
684	108
684	127
684	643
684	645
684	667
684	684
684	54
684	58
684	71
684	100
684	101
684	102
684	108
684	127
684	643
684	645
684	667
684	684
684	54
684	58
684	71
684	100
684	101
684	102
684	108
684	127
684	643
684	645
684	667
684	684
684	54
684	58
684	71
684	100
684	101
684	102
684	108
684	127
684	643
684	645
684	667
684	684
684	54
684	58
684	71
684	100
684	101
684	102
684	108
684	127
684	643
684	645
684	667
684	684
