#Receptor_resid	Ligand_resid
1410	1232
1410	1236
1410	1240
1410	1328
1410	1331
1410	1360
1410	1361
1410	1364
1410	1367
1410	1368
1410	1371
1410	1372
1410	1374
1410	1375
1410	1376
1410	1399
1410	1402
1410	1403
1410	1406
1410	1409
1410	1410
1410	1232
1410	1236
1410	1240
1410	1328
1410	1331
1410	1360
1410	1361
1410	1364
1410	1367
1410	1368
1410	1371
1410	1372
1410	1374
1410	1375
1410	1376
1410	1399
1410	1402
1410	1403
1410	1406
1410	1409
1410	1410
1410	1232
1410	1236
1410	1240
1410	1328
1410	1331
1410	1360
1410	1361
1410	1364
1410	1367
1410	1368
1410	1371
1410	1372
1410	1374
1410	1375
1410	1376
1410	1399
1410	1402
1410	1403
1410	1406
1410	1409
1410	1410
1410	1232
1410	1236
1410	1240
1410	1328
1410	1331
1410	1360
1410	1361
1410	1364
1410	1367
1410	1368
1410	1371
1410	1372
1410	1374
1410	1375
1410	1376
1410	1399
1410	1402
1410	1403
1410	1406
1410	1409
1410	1410
1410	1232
1410	1236
1410	1240
1410	1328
1410	1331
1410	1360
1410	1361
1410	1364
1410	1367
1410	1368
1410	1371
1410	1372
1410	1374
1410	1375
1410	1376
1410	1399
1410	1402
1410	1403
1410	1406
1410	1409
1410	1410
1410	1232
1410	1236
1410	1240
1410	1328
1410	1331
1410	1360
1410	1361
1410	1364
1410	1367
1410	1368
1410	1371
1410	1372
1410	1374
1410	1375
1410	1376
1410	1399
1410	1402
1410	1403
1410	1406
1410	1409
1410	1410
1410	1232
1410	1236
1410	1240
1410	1328
1410	1331
1410	1360
1410	1361
1410	1364
1410	1367
1410	1368
1410	1371
1410	1372
1410	1374
1410	1375
1410	1376
1410	1399
1410	1402
1410	1403
1410	1406
1410	1409
1410	1410
1410	1232
1410	1236
1410	1240
1410	1328
1410	1331
1410	1360
1410	1361
1410	1364
1410	1367
1410	1368
1410	1371
1410	1372
1410	1374
1410	1375
1410	1376
1410	1399
1410	1402
1410	1403
1410	1406
1410	1409
1410	1410
1410	1232
1410	1236
1410	1240
1410	1328
1410	1331
1410	1360
1410	1361
1410	1364
1410	1367
1410	1368
1410	1371
1410	1372
1410	1374
1410	1375
1410	1376
1410	1399
1410	1402
1410	1403
1410	1406
1410	1409
1410	1410
1410	1232
1410	1236
1410	1240
1410	1328
1410	1331
1410	1360
1410	1361
1410	1364
1410	1367
1410	1368
1410	1371
1410	1372
1410	1374
1410	1375
1410	1376
1410	1399
1410	1402
1410	1403
1410	1406
1410	1409
1410	1410
1410	1232
1410	1236
1410	1240
1410	1328
1410	1331
1410	1360
1410	1361
1410	1364
1410	1367
1410	1368
1410	1371
1410	1372
1410	1374
1410	1375
1410	1376
1410	1399
1410	1402
1410	1403
1410	1406
1410	1409
1410	1410
1410	1232
1410	1236
1410	1240
1410	1328
1410	1331
1410	1360
1410	1361
1410	1364
1410	1367
1410	1368
1410	1371
1410	1372
1410	1374
1410	1375
1410	1376
1410	1399
1410	1402
1410	1403
1410	1406
1410	1409
1410	1410
1410	1232
1410	1236
1410	1240
1410	1328
1410	1331
1410	1360
1410	1361
1410	1364
1410	1367
1410	1368
1410	1371
1410	1372
1410	1374
1410	1375
1410	1376
1410	1399
1410	1402
1410	1403
1410	1406
1410	1409
1410	1410
1410	1232
1410	1236
1410	1240
1410	1328
1410	1331
1410	1360
1410	1361
1410	1364
1410	1367
1410	1368
1410	1371
1410	1372
1410	1374
1410	1375
1410	1376
1410	1399
1410	1402
1410	1403
1410	1406
1410	1409
1410	1410
1410	1232
1410	1236
1410	1240
1410	1328
1410	1331
1410	1360
1410	1361
1410	1364
1410	1367
1410	1368
1410	1371
1410	1372
1410	1374
1410	1375
1410	1376
1410	1399
1410	1402
1410	1403
1410	1406
1410	1409
1410	1410
1410	1232
1410	1236
1410	1240
1410	1328
1410	1331
1410	1360
1410	1361
1410	1364
1410	1367
1410	1368
1410	1371
1410	1372
1410	1374
1410	1375
1410	1376
1410	1399
1410	1402
1410	1403
1410	1406
1410	1409
1410	1410
