#Receptor_resid	Ligand_resid
163	93
163	94
163	95
163	96
163	97
163	98
163	99
163	101
163	112
163	113
163	116
163	117
163	121
163	122
163	124
163	155
163	163
163	93
163	94
163	95
163	96
163	97
163	98
163	99
163	101
163	112
163	113
163	116
163	117
163	121
163	122
163	124
163	155
163	163
163	93
163	94
163	95
163	96
163	97
163	98
163	99
163	101
163	112
163	113
163	116
163	117
163	121
163	122
163	124
163	155
163	163
163	93
163	94
163	95
163	96
163	97
163	98
163	99
163	101
163	112
163	113
163	116
163	117
163	121
163	122
163	124
163	155
163	163
163	93
163	94
163	95
163	96
163	97
163	98
163	99
163	101
163	112
163	113
163	116
163	117
163	121
163	122
163	124
163	155
163	163
163	93
163	94
163	95
163	96
163	97
163	98
163	99
163	101
163	112
163	113
163	116
163	117
163	121
163	122
163	124
163	155
163	163
163	93
163	94
163	95
163	96
163	97
163	98
163	99
163	101
163	112
163	113
163	116
163	117
163	121
163	122
163	124
163	155
163	163
163	93
163	94
163	95
163	96
163	97
163	98
163	99
163	101
163	112
163	113
163	116
163	117
163	121
163	122
163	124
163	155
163	163
163	93
163	94
163	95
163	96
163	97
163	98
163	99
163	101
163	112
163	113
163	116
163	117
163	121
163	122
163	124
163	155
163	163
163	93
163	94
163	95
163	96
163	97
163	98
163	99
163	101
163	112
163	113
163	116
163	117
163	121
163	122
163	124
163	155
163	163
163	93
163	94
163	95
163	96
163	97
163	98
163	99
163	101
163	112
163	113
163	116
163	117
163	121
163	122
163	124
163	155
163	163
