#Receptor_resid	Ligand_resid
950	933
950	934
950	937
950	938
950	946
950	950
950	933
950	934
950	937
950	938
950	946
950	950
950	933
950	934
950	937
950	938
950	946
950	950
950	933
950	934
950	937
950	938
950	946
950	950
950	933
950	934
950	937
950	938
950	946
950	950
950	933
950	934
950	937
950	938
950	946
950	950
950	933
950	934
950	937
950	938
950	946
950	950
950	933
950	934
950	937
950	938
950	946
950	950
950	933
950	934
950	937
950	938
950	946
950	950
950	933
950	934
950	937
950	938
950	946
950	950
