#Receptor_resid	Ligand_resid
197	162
197	163
197	164
197	165
197	166
197	169
197	195
197	197
197	162
197	163
197	164
197	165
197	166
197	169
197	195
197	197
197	162
197	163
197	164
197	165
197	166
197	169
197	195
197	197
197	162
197	163
197	164
197	165
197	166
197	169
197	195
197	197
197	162
197	163
197	164
197	165
197	166
197	169
197	195
197	197
197	162
197	163
197	164
197	165
197	166
197	169
197	195
197	197
197	162
197	163
197	164
197	165
197	166
197	169
197	195
197	197
197	162
197	163
197	164
197	165
197	166
197	169
197	195
197	197
