#Receptor_resid	Ligand_resid
365	299
365	303
365	309
365	310
365	311
365	312
365	313
365	315
365	316
365	320
365	349
365	350
365	351
365	353
365	354
365	355
365	357
365	358
365	361
365	365
365	299
365	303
365	309
365	310
365	311
365	312
365	313
365	315
365	316
365	320
365	349
365	350
365	351
365	353
365	354
365	355
365	357
365	358
365	361
365	365
365	299
365	303
365	309
365	310
365	311
365	312
365	313
365	315
365	316
365	320
365	349
365	350
365	351
365	353
365	354
365	355
365	357
365	358
365	361
365	365
365	299
365	303
365	309
365	310
365	311
365	312
365	313
365	315
365	316
365	320
365	349
365	350
365	351
365	353
365	354
365	355
365	357
365	358
365	361
365	365
365	299
365	303
365	309
365	310
365	311
365	312
365	313
365	315
365	316
365	320
365	349
365	350
365	351
365	353
365	354
365	355
365	357
365	358
365	361
365	365
365	299
365	303
365	309
365	310
365	311
365	312
365	313
365	315
365	316
365	320
365	349
365	350
365	351
365	353
365	354
365	355
365	357
365	358
365	361
365	365
365	299
365	303
365	309
365	310
365	311
365	312
365	313
365	315
365	316
365	320
365	349
365	350
365	351
365	353
365	354
365	355
365	357
365	358
365	361
365	365
365	299
365	303
365	309
365	310
365	311
365	312
365	313
365	315
365	316
365	320
365	349
365	350
365	351
365	353
365	354
365	355
365	357
365	358
365	361
365	365
365	299
365	303
365	309
365	310
365	311
365	312
365	313
365	315
365	316
365	320
365	349
365	350
365	351
365	353
365	354
365	355
365	357
365	358
365	361
365	365
365	299
365	303
365	309
365	310
365	311
365	312
365	313
365	315
365	316
365	320
365	349
365	350
365	351
365	353
365	354
365	355
365	357
365	358
365	361
365	365
365	299
365	303
365	309
365	310
365	311
365	312
365	313
365	315
365	316
365	320
365	349
365	350
365	351
365	353
365	354
365	355
365	357
365	358
365	361
365	365
365	299
365	303
365	309
365	310
365	311
365	312
365	313
365	315
365	316
365	320
365	349
365	350
365	351
365	353
365	354
365	355
365	357
365	358
365	361
365	365
365	299
365	303
365	309
365	310
365	311
365	312
365	313
365	315
365	316
365	320
365	349
365	350
365	351
365	353
365	354
365	355
365	357
365	358
365	361
365	365
365	299
365	303
365	309
365	310
365	311
365	312
365	313
365	315
365	316
365	320
365	349
365	350
365	351
365	353
365	354
365	355
365	357
365	358
365	361
365	365
365	299
365	303
365	309
365	310
365	311
365	312
365	313
365	315
365	316
365	320
365	349
365	350
365	351
365	353
365	354
365	355
365	357
365	358
365	361
365	365
365	299
365	303
365	309
365	310
365	311
365	312
365	313
365	315
365	316
365	320
365	349
365	350
365	351
365	353
365	354
365	355
365	357
365	358
365	361
365	365
365	299
365	303
365	309
365	310
365	311
365	312
365	313
365	315
365	316
365	320
365	349
365	350
365	351
365	353
365	354
365	355
365	357
365	358
365	361
365	365
365	299
365	303
365	309
365	310
365	311
365	312
365	313
365	315
365	316
365	320
365	349
365	350
365	351
365	353
365	354
365	355
365	357
365	358
365	361
365	365
365	299
365	303
365	309
365	310
365	311
365	312
365	313
365	315
365	316
365	320
365	349
365	350
365	351
365	353
365	354
365	355
365	357
365	358
365	361
365	365
365	299
365	303
365	309
365	310
365	311
365	312
365	313
365	315
365	316
365	320
365	349
365	350
365	351
365	353
365	354
365	355
365	357
365	358
365	361
365	365
365	299
365	303
365	309
365	310
365	311
365	312
365	313
365	315
365	316
365	320
365	349
365	350
365	351
365	353
365	354
365	355
365	357
365	358
365	361
365	365
