#Receptor_resid	Ligand_resid
210	35
210	36
210	37
210	38
210	39
210	40
210	42
210	43
210	78
210	81
210	82
210	83
210	85
210	157
210	158
210	170
210	171
210	172
210	173
210	174
210	175
210	206
210	209
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	42
210	43
210	78
210	81
210	82
210	83
210	85
210	157
210	158
210	170
210	171
210	172
210	173
210	174
210	175
210	206
210	209
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	42
210	43
210	78
210	81
210	82
210	83
210	85
210	157
210	158
210	170
210	171
210	172
210	173
210	174
210	175
210	206
210	209
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	42
210	43
210	78
210	81
210	82
210	83
210	85
210	157
210	158
210	170
210	171
210	172
210	173
210	174
210	175
210	206
210	209
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	42
210	43
210	78
210	81
210	82
210	83
210	85
210	157
210	158
210	170
210	171
210	172
210	173
210	174
210	175
210	206
210	209
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	42
210	43
210	78
210	81
210	82
210	83
210	85
210	157
210	158
210	170
210	171
210	172
210	173
210	174
210	175
210	206
210	209
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	42
210	43
210	78
210	81
210	82
210	83
210	85
210	157
210	158
210	170
210	171
210	172
210	173
210	174
210	175
210	206
210	209
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	42
210	43
210	78
210	81
210	82
210	83
210	85
210	157
210	158
210	170
210	171
210	172
210	173
210	174
210	175
210	206
210	209
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	42
210	43
210	78
210	81
210	82
210	83
210	85
210	157
210	158
210	170
210	171
210	172
210	173
210	174
210	175
210	206
210	209
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	42
210	43
210	78
210	81
210	82
210	83
210	85
210	157
210	158
210	170
210	171
210	172
210	173
210	174
210	175
210	206
210	209
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	42
210	43
210	78
210	81
210	82
210	83
210	85
210	157
210	158
210	170
210	171
210	172
210	173
210	174
210	175
210	206
210	209
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	42
210	43
210	78
210	81
210	82
210	83
210	85
210	157
210	158
210	170
210	171
210	172
210	173
210	174
210	175
210	206
210	209
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	42
210	43
210	78
210	81
210	82
210	83
210	85
210	157
210	158
210	170
210	171
210	172
210	173
210	174
210	175
210	206
210	209
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	42
210	43
210	78
210	81
210	82
210	83
210	85
210	157
210	158
210	170
210	171
210	172
210	173
210	174
210	175
210	206
210	209
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	42
210	43
210	78
210	81
210	82
210	83
210	85
210	157
210	158
210	170
210	171
210	172
210	173
210	174
210	175
210	206
210	209
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	42
210	43
210	78
210	81
210	82
210	83
210	85
210	157
210	158
210	170
210	171
210	172
210	173
210	174
210	175
210	206
210	209
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	42
210	43
210	78
210	81
210	82
210	83
210	85
210	157
210	158
210	170
210	171
210	172
210	173
210	174
210	175
210	206
210	209
210	210
210	35
210	36
210	37
210	38
210	39
210	40
210	42
210	43
210	78
210	81
210	82
210	83
210	85
210	157
210	158
210	170
210	171
210	172
210	173
210	174
210	175
210	206
210	209
210	210
