#Receptor_resid	Ligand_resid
228	12
228	13
228	14
228	15
228	16
228	17
228	29
228	56
228	57
228	60
228	61
228	114
228	118
228	184
228	186
228	187
228	224
228	226
228	227
228	228
228	12
228	13
228	14
228	15
228	16
228	17
228	29
228	56
228	57
228	60
228	61
228	114
228	118
228	184
228	186
228	187
228	224
228	226
228	227
228	228
228	12
228	13
228	14
228	15
228	16
228	17
228	29
228	56
228	57
228	60
228	61
228	114
228	118
228	184
228	186
228	187
228	224
228	226
228	227
228	228
228	12
228	13
228	14
228	15
228	16
228	17
228	29
228	56
228	57
228	60
228	61
228	114
228	118
228	184
228	186
228	187
228	224
228	226
228	227
228	228
228	12
228	13
228	14
228	15
228	16
228	17
228	29
228	56
228	57
228	60
228	61
228	114
228	118
228	184
228	186
228	187
228	224
228	226
228	227
228	228
228	12
228	13
228	14
228	15
228	16
228	17
228	29
228	56
228	57
228	60
228	61
228	114
228	118
228	184
228	186
228	187
228	224
228	226
228	227
228	228
228	12
228	13
228	14
228	15
228	16
228	17
228	29
228	56
228	57
228	60
228	61
228	114
228	118
228	184
228	186
228	187
228	224
228	226
228	227
228	228
228	12
228	13
228	14
228	15
228	16
228	17
228	29
228	56
228	57
228	60
228	61
228	114
228	118
228	184
228	186
228	187
228	224
228	226
228	227
228	228
228	12
228	13
228	14
228	15
228	16
228	17
228	29
228	56
228	57
228	60
228	61
228	114
228	118
228	184
228	186
228	187
228	224
228	226
228	227
228	228
228	12
228	13
228	14
228	15
228	16
228	17
228	29
228	56
228	57
228	60
228	61
228	114
228	118
228	184
228	186
228	187
228	224
228	226
228	227
228	228
228	12
228	13
228	14
228	15
228	16
228	17
228	29
228	56
228	57
228	60
228	61
228	114
228	118
228	184
228	186
228	187
228	224
228	226
228	227
228	228
228	12
228	13
228	14
228	15
228	16
228	17
228	29
228	56
228	57
228	60
228	61
228	114
228	118
228	184
228	186
228	187
228	224
228	226
228	227
228	228
228	12
228	13
228	14
228	15
228	16
228	17
228	29
228	56
228	57
228	60
228	61
228	114
228	118
228	184
228	186
228	187
228	224
228	226
228	227
228	228
228	12
228	13
228	14
228	15
228	16
228	17
228	29
228	56
228	57
228	60
228	61
228	114
228	118
228	184
228	186
228	187
228	224
228	226
228	227
228	228
228	12
228	13
228	14
228	15
228	16
228	17
228	29
228	56
228	57
228	60
228	61
228	114
228	118
228	184
228	186
228	187
228	224
228	226
228	227
228	228
228	12
228	13
228	14
228	15
228	16
228	17
228	29
228	56
228	57
228	60
228	61
228	114
228	118
228	184
228	186
228	187
228	224
228	226
228	227
228	228
228	12
228	13
228	14
228	15
228	16
228	17
228	29
228	56
228	57
228	60
228	61
228	114
228	118
228	184
228	186
228	187
228	224
228	226
228	227
228	228
