#Receptor_resid	Ligand_resid
290	31
290	32
290	34
290	38
290	39
290	193
290	194
290	197
290	290
290	31
290	32
290	34
290	38
290	39
290	193
290	194
290	197
290	290
290	31
290	32
290	34
290	38
290	39
290	193
290	194
290	197
290	290
290	31
290	32
290	34
290	38
290	39
290	193
290	194
290	197
290	290
290	31
290	32
290	34
290	38
290	39
290	193
290	194
290	197
290	290
290	31
290	32
290	34
290	38
290	39
290	193
290	194
290	197
290	290
290	31
290	32
290	34
290	38
290	39
290	193
290	194
290	197
290	290
290	31
290	32
290	34
290	38
290	39
290	193
290	194
290	197
290	290
290	31
290	32
290	34
290	38
290	39
290	193
290	194
290	197
290	290
290	31
290	32
290	34
290	38
290	39
290	193
290	194
290	197
290	290
