#Receptor_resid	Ligand_resid
222	64
222	100
222	101
222	102
222	103
222	104
222	125
222	126
222	127
222	129
222	130
222	135
222	154
222	155
222	156
222	189
222	218
222	219
222	220
222	221
222	222
222	64
222	100
222	101
222	102
222	103
222	104
222	125
222	126
222	127
222	129
222	130
222	135
222	154
222	155
222	156
222	189
222	218
222	219
222	220
222	221
222	222
222	64
222	100
222	101
222	102
222	103
222	104
222	125
222	126
222	127
222	129
222	130
222	135
222	154
222	155
222	156
222	189
222	218
222	219
222	220
222	221
222	222
222	64
222	100
222	101
222	102
222	103
222	104
222	125
222	126
222	127
222	129
222	130
222	135
222	154
222	155
222	156
222	189
222	218
222	219
222	220
222	221
222	222
222	64
222	100
222	101
222	102
222	103
222	104
222	125
222	126
222	127
222	129
222	130
222	135
222	154
222	155
222	156
222	189
222	218
222	219
222	220
222	221
222	222
222	64
222	100
222	101
222	102
222	103
222	104
222	125
222	126
222	127
222	129
222	130
222	135
222	154
222	155
222	156
222	189
222	218
222	219
222	220
222	221
222	222
222	64
222	100
222	101
222	102
222	103
222	104
222	125
222	126
222	127
222	129
222	130
222	135
222	154
222	155
222	156
222	189
222	218
222	219
222	220
222	221
222	222
222	64
222	100
222	101
222	102
222	103
222	104
222	125
222	126
222	127
222	129
222	130
222	135
222	154
222	155
222	156
222	189
222	218
222	219
222	220
222	221
222	222
222	64
222	100
222	101
222	102
222	103
222	104
222	125
222	126
222	127
222	129
222	130
222	135
222	154
222	155
222	156
222	189
222	218
222	219
222	220
222	221
222	222
222	64
222	100
222	101
222	102
222	103
222	104
222	125
222	126
222	127
222	129
222	130
222	135
222	154
222	155
222	156
222	189
222	218
222	219
222	220
222	221
222	222
222	64
222	100
222	101
222	102
222	103
222	104
222	125
222	126
222	127
222	129
222	130
222	135
222	154
222	155
222	156
222	189
222	218
222	219
222	220
222	221
222	222
222	64
222	100
222	101
222	102
222	103
222	104
222	125
222	126
222	127
222	129
222	130
222	135
222	154
222	155
222	156
222	189
222	218
222	219
222	220
222	221
222	222
