#Receptor_resid	Ligand_resid
220	64
220	96
220	99
220	100
220	101
220	102
220	103
220	104
220	107
220	125
220	126
220	127
220	152
220	154
220	155
220	189
220	217
220	218
220	219
220	220
220	64
220	96
220	99
220	100
220	101
220	102
220	103
220	104
220	107
220	125
220	126
220	127
220	152
220	154
220	155
220	189
220	217
220	218
220	219
220	220
220	64
220	96
220	99
220	100
220	101
220	102
220	103
220	104
220	107
220	125
220	126
220	127
220	152
220	154
220	155
220	189
220	217
220	218
220	219
220	220
220	64
220	96
220	99
220	100
220	101
220	102
220	103
220	104
220	107
220	125
220	126
220	127
220	152
220	154
220	155
220	189
220	217
220	218
220	219
220	220
220	64
220	96
220	99
220	100
220	101
220	102
220	103
220	104
220	107
220	125
220	126
220	127
220	152
220	154
220	155
220	189
220	217
220	218
220	219
220	220
220	64
220	96
220	99
220	100
220	101
220	102
220	103
220	104
220	107
220	125
220	126
220	127
220	152
220	154
220	155
220	189
220	217
220	218
220	219
220	220
220	64
220	96
220	99
220	100
220	101
220	102
220	103
220	104
220	107
220	125
220	126
220	127
220	152
220	154
220	155
220	189
220	217
220	218
220	219
220	220
220	64
220	96
220	99
220	100
220	101
220	102
220	103
220	104
220	107
220	125
220	126
220	127
220	152
220	154
220	155
220	189
220	217
220	218
220	219
220	220
220	64
220	96
220	99
220	100
220	101
220	102
220	103
220	104
220	107
220	125
220	126
220	127
220	152
220	154
220	155
220	189
220	217
220	218
220	219
220	220
220	64
220	96
220	99
220	100
220	101
220	102
220	103
220	104
220	107
220	125
220	126
220	127
220	152
220	154
220	155
220	189
220	217
220	218
220	219
220	220
220	64
220	96
220	99
220	100
220	101
220	102
220	103
220	104
220	107
220	125
220	126
220	127
220	152
220	154
220	155
220	189
220	217
220	218
220	219
220	220
