#Receptor_resid	Ligand_resid
219	37
219	38
219	39
219	40
219	55
219	146
219	186
219	187
219	189
219	190
219	191
219	192
219	206
219	207
219	208
219	209
219	219
219	37
219	38
219	39
219	40
219	55
219	146
219	186
219	187
219	189
219	190
219	191
219	192
219	206
219	207
219	208
219	209
219	219
219	37
219	38
219	39
219	40
219	55
219	146
219	186
219	187
219	189
219	190
219	191
219	192
219	206
219	207
219	208
219	209
219	219
219	37
219	38
219	39
219	40
219	55
219	146
219	186
219	187
219	189
219	190
219	191
219	192
219	206
219	207
219	208
219	209
219	219
219	37
219	38
219	39
219	40
219	55
219	146
219	186
219	187
219	189
219	190
219	191
219	192
219	206
219	207
219	208
219	209
219	219
219	37
219	38
219	39
219	40
219	55
219	146
219	186
219	187
219	189
219	190
219	191
219	192
219	206
219	207
219	208
219	209
219	219
219	37
219	38
219	39
219	40
219	55
219	146
219	186
219	187
219	189
219	190
219	191
219	192
219	206
219	207
219	208
219	209
219	219
219	37
219	38
219	39
219	40
219	55
219	146
219	186
219	187
219	189
219	190
219	191
219	192
219	206
219	207
219	208
219	209
219	219
