#Receptor_resid	Ligand_resid
329	212
329	227
329	228
329	229
329	230
329	232
329	233
329	263
329	267
329	270
329	308
329	318
329	321
329	322
329	323
329	325
329	326
329	329
329	212
329	227
329	228
329	229
329	230
329	232
329	233
329	263
329	267
329	270
329	308
329	318
329	321
329	322
329	323
329	325
329	326
329	329
329	212
329	227
329	228
329	229
329	230
329	232
329	233
329	263
329	267
329	270
329	308
329	318
329	321
329	322
329	323
329	325
329	326
329	329
329	212
329	227
329	228
329	229
329	230
329	232
329	233
329	263
329	267
329	270
329	308
329	318
329	321
329	322
329	323
329	325
329	326
329	329
329	212
329	227
329	228
329	229
329	230
329	232
329	233
329	263
329	267
329	270
329	308
329	318
329	321
329	322
329	323
329	325
329	326
329	329
329	212
329	227
329	228
329	229
329	230
329	232
329	233
329	263
329	267
329	270
329	308
329	318
329	321
329	322
329	323
329	325
329	326
329	329
329	212
329	227
329	228
329	229
329	230
329	232
329	233
329	263
329	267
329	270
329	308
329	318
329	321
329	322
329	323
329	325
329	326
329	329
329	212
329	227
329	228
329	229
329	230
329	232
329	233
329	263
329	267
329	270
329	308
329	318
329	321
329	322
329	323
329	325
329	326
329	329
329	212
329	227
329	228
329	229
329	230
329	232
329	233
329	263
329	267
329	270
329	308
329	318
329	321
329	322
329	323
329	325
329	326
329	329
329	212
329	227
329	228
329	229
329	230
329	232
329	233
329	263
329	267
329	270
329	308
329	318
329	321
329	322
329	323
329	325
329	326
329	329
329	212
329	227
329	228
329	229
329	230
329	232
329	233
329	263
329	267
329	270
329	308
329	318
329	321
329	322
329	323
329	325
329	326
329	329
329	212
329	227
329	228
329	229
329	230
329	232
329	233
329	263
329	267
329	270
329	308
329	318
329	321
329	322
329	323
329	325
329	326
329	329
329	212
329	227
329	228
329	229
329	230
329	232
329	233
329	263
329	267
329	270
329	308
329	318
329	321
329	322
329	323
329	325
329	326
329	329
329	212
329	227
329	228
329	229
329	230
329	232
329	233
329	263
329	267
329	270
329	308
329	318
329	321
329	322
329	323
329	325
329	326
329	329
329	212
329	227
329	228
329	229
329	230
329	232
329	233
329	263
329	267
329	270
329	308
329	318
329	321
329	322
329	323
329	325
329	326
329	329
329	212
329	227
329	228
329	229
329	230
329	232
329	233
329	263
329	267
329	270
329	308
329	318
329	321
329	322
329	323
329	325
329	326
329	329
329	212
329	227
329	228
329	229
329	230
329	232
329	233
329	263
329	267
329	270
329	308
329	318
329	321
329	322
329	323
329	325
329	326
329	329
