#Receptor_resid	Ligand_resid
607	96
607	530
607	531
607	552
607	553
607	554
607	556
607	558
607	600
607	602
607	603
607	605
607	607
607	96
607	530
607	531
607	552
607	553
607	554
607	556
607	558
607	600
607	602
607	603
607	605
607	607
607	96
607	530
607	531
607	552
607	553
607	554
607	556
607	558
607	600
607	602
607	603
607	605
607	607
607	96
607	530
607	531
607	552
607	553
607	554
607	556
607	558
607	600
607	602
607	603
607	605
607	607
607	96
607	530
607	531
607	552
607	553
607	554
607	556
607	558
607	600
607	602
607	603
607	605
607	607
607	96
607	530
607	531
607	552
607	553
607	554
607	556
607	558
607	600
607	602
607	603
607	605
607	607
607	96
607	530
607	531
607	552
607	553
607	554
607	556
607	558
607	600
607	602
607	603
607	605
607	607
607	96
607	530
607	531
607	552
607	553
607	554
607	556
607	558
607	600
607	602
607	603
607	605
607	607
607	96
607	530
607	531
607	552
607	553
607	554
607	556
607	558
607	600
607	602
607	603
607	605
607	607
607	96
607	530
607	531
607	552
607	553
607	554
607	556
607	558
607	600
607	602
607	603
607	605
607	607
607	96
607	530
607	531
607	552
607	553
607	554
607	556
607	558
607	600
607	602
607	603
607	605
607	607
607	96
607	530
607	531
607	552
607	553
607	554
607	556
607	558
607	600
607	602
607	603
607	605
607	607
607	96
607	530
607	531
607	552
607	553
607	554
607	556
607	558
607	600
607	602
607	603
607	605
607	607
607	96
607	530
607	531
607	552
607	553
607	554
607	556
607	558
607	600
607	602
607	603
607	605
607	607
607	96
607	530
607	531
607	552
607	553
607	554
607	556
607	558
607	600
607	602
607	603
607	605
607	607
607	96
607	530
607	531
607	552
607	553
607	554
607	556
607	558
607	600
607	602
607	603
607	605
607	607
607	96
607	530
607	531
607	552
607	553
607	554
607	556
607	558
607	600
607	602
607	603
607	605
607	607
