#Receptor_resid	Ligand_resid
281	28
281	29
281	30
281	31
281	33
281	45
281	47
281	49
281	52
281	88
281	89
281	215
281	218
281	220
281	232
281	235
281	239
281	277
281	281
281	28
281	29
281	30
281	31
281	33
281	45
281	47
281	49
281	52
281	88
281	89
281	215
281	218
281	220
281	232
281	235
281	239
281	277
281	281
281	28
281	29
281	30
281	31
281	33
281	45
281	47
281	49
281	52
281	88
281	89
281	215
281	218
281	220
281	232
281	235
281	239
281	277
281	281
281	28
281	29
281	30
281	31
281	33
281	45
281	47
281	49
281	52
281	88
281	89
281	215
281	218
281	220
281	232
281	235
281	239
281	277
281	281
281	28
281	29
281	30
281	31
281	33
281	45
281	47
281	49
281	52
281	88
281	89
281	215
281	218
281	220
281	232
281	235
281	239
281	277
281	281
281	28
281	29
281	30
281	31
281	33
281	45
281	47
281	49
281	52
281	88
281	89
281	215
281	218
281	220
281	232
281	235
281	239
281	277
281	281
281	28
281	29
281	30
281	31
281	33
281	45
281	47
281	49
281	52
281	88
281	89
281	215
281	218
281	220
281	232
281	235
281	239
281	277
281	281
281	28
281	29
281	30
281	31
281	33
281	45
281	47
281	49
281	52
281	88
281	89
281	215
281	218
281	220
281	232
281	235
281	239
281	277
281	281
281	28
281	29
281	30
281	31
281	33
281	45
281	47
281	49
281	52
281	88
281	89
281	215
281	218
281	220
281	232
281	235
281	239
281	277
281	281
281	28
281	29
281	30
281	31
281	33
281	45
281	47
281	49
281	52
281	88
281	89
281	215
281	218
281	220
281	232
281	235
281	239
281	277
281	281
281	28
281	29
281	30
281	31
281	33
281	45
281	47
281	49
281	52
281	88
281	89
281	215
281	218
281	220
281	232
281	235
281	239
281	277
281	281
281	28
281	29
281	30
281	31
281	33
281	45
281	47
281	49
281	52
281	88
281	89
281	215
281	218
281	220
281	232
281	235
281	239
281	277
281	281
281	28
281	29
281	30
281	31
281	33
281	45
281	47
281	49
281	52
281	88
281	89
281	215
281	218
281	220
281	232
281	235
281	239
281	277
281	281
281	28
281	29
281	30
281	31
281	33
281	45
281	47
281	49
281	52
281	88
281	89
281	215
281	218
281	220
281	232
281	235
281	239
281	277
281	281
281	28
281	29
281	30
281	31
281	33
281	45
281	47
281	49
281	52
281	88
281	89
281	215
281	218
281	220
281	232
281	235
281	239
281	277
281	281
