#Receptor_resid	Ligand_resid
595	32
595	33
595	35
595	47
595	50
595	52
595	54
595	55
595	57
595	99
595	101
595	549
595	590
595	591
595	595
595	32
595	33
595	35
595	47
595	50
595	52
595	54
595	55
595	57
595	99
595	101
595	549
595	590
595	591
595	595
595	32
595	33
595	35
595	47
595	50
595	52
595	54
595	55
595	57
595	99
595	101
595	549
595	590
595	591
595	595
595	32
595	33
595	35
595	47
595	50
595	52
595	54
595	55
595	57
595	99
595	101
595	549
595	590
595	591
595	595
595	32
595	33
595	35
595	47
595	50
595	52
595	54
595	55
595	57
595	99
595	101
595	549
595	590
595	591
595	595
595	32
595	33
595	35
595	47
595	50
595	52
595	54
595	55
595	57
595	99
595	101
595	549
595	590
595	591
595	595
595	32
595	33
595	35
595	47
595	50
595	52
595	54
595	55
595	57
595	99
595	101
595	549
595	590
595	591
595	595
595	32
595	33
595	35
595	47
595	50
595	52
595	54
595	55
595	57
595	99
595	101
595	549
595	590
595	591
595	595
595	32
595	33
595	35
595	47
595	50
595	52
595	54
595	55
595	57
595	99
595	101
595	549
595	590
595	591
595	595
595	32
595	33
595	35
595	47
595	50
595	52
595	54
595	55
595	57
595	99
595	101
595	549
595	590
595	591
595	595
595	32
595	33
595	35
595	47
595	50
595	52
595	54
595	55
595	57
595	99
595	101
595	549
595	590
595	591
595	595
595	32
595	33
595	35
595	47
595	50
595	52
595	54
595	55
595	57
595	99
595	101
595	549
595	590
595	591
595	595
595	32
595	33
595	35
595	47
595	50
595	52
595	54
595	55
595	57
595	99
595	101
595	549
595	590
595	591
595	595
