#Receptor_resid	Ligand_resid
99	16
99	17
99	20
99	21
99	24
99	28
99	41
99	45
99	90
99	91
99	94
99	95
99	96
99	97
99	98
99	99
99	16
99	17
99	20
99	21
99	24
99	28
99	41
99	45
99	90
99	91
99	94
99	95
99	96
99	97
99	98
99	99
99	16
99	17
99	20
99	21
99	24
99	28
99	41
99	45
99	90
99	91
99	94
99	95
99	96
99	97
99	98
99	99
99	16
99	17
99	20
99	21
99	24
99	28
99	41
99	45
99	90
99	91
99	94
99	95
99	96
99	97
99	98
99	99
99	16
99	17
99	20
99	21
99	24
99	28
99	41
99	45
99	90
99	91
99	94
99	95
99	96
99	97
99	98
99	99
99	16
99	17
99	20
99	21
99	24
99	28
99	41
99	45
99	90
99	91
99	94
99	95
99	96
99	97
99	98
99	99
99	16
99	17
99	20
99	21
99	24
99	28
99	41
99	45
99	90
99	91
99	94
99	95
99	96
99	97
99	98
99	99
99	16
99	17
99	20
99	21
99	24
99	28
99	41
99	45
99	90
99	91
99	94
99	95
99	96
99	97
99	98
99	99
99	16
99	17
99	20
99	21
99	24
99	28
99	41
99	45
99	90
99	91
99	94
99	95
99	96
99	97
99	98
99	99
99	16
99	17
99	20
99	21
99	24
99	28
99	41
99	45
99	90
99	91
99	94
99	95
99	96
99	97
99	98
99	99
99	16
99	17
99	20
99	21
99	24
99	28
99	41
99	45
99	90
99	91
99	94
99	95
99	96
99	97
99	98
99	99
99	16
99	17
99	20
99	21
99	24
99	28
99	41
99	45
99	90
99	91
99	94
99	95
99	96
99	97
99	98
99	99
99	16
99	17
99	20
99	21
99	24
99	28
99	41
99	45
99	90
99	91
99	94
99	95
99	96
99	97
99	98
99	99
99	16
99	17
99	20
99	21
99	24
99	28
99	41
99	45
99	90
99	91
99	94
99	95
99	96
99	97
99	98
99	99
99	16
99	17
99	20
99	21
99	24
99	28
99	41
99	45
99	90
99	91
99	94
99	95
99	96
99	97
99	98
99	99
99	16
99	17
99	20
99	21
99	24
99	28
99	41
99	45
99	90
99	91
99	94
99	95
99	96
99	97
99	98
99	99
99	16
99	17
99	20
99	21
99	24
99	28
99	41
99	45
99	90
99	91
99	94
99	95
99	96
99	97
99	98
99	99
99	16
99	17
99	20
99	21
99	24
99	28
99	41
99	45
99	90
99	91
99	94
99	95
99	96
99	97
99	98
99	99
