#Receptor_resid	Ligand_resid
378	63
378	65
378	70
378	291
378	295
378	318
378	320
378	322
378	329
378	371
378	372
378	378
378	63
378	65
378	70
378	291
378	295
378	318
378	320
378	322
378	329
378	371
378	372
378	378
378	63
378	65
378	70
378	291
378	295
378	318
378	320
378	322
378	329
378	371
378	372
378	378
378	63
378	65
378	70
378	291
378	295
378	318
378	320
378	322
378	329
378	371
378	372
378	378
378	63
378	65
378	70
378	291
378	295
378	318
378	320
378	322
378	329
378	371
378	372
378	378
378	63
378	65
378	70
378	291
378	295
378	318
378	320
378	322
378	329
378	371
378	372
378	378
378	63
378	65
378	70
378	291
378	295
378	318
378	320
378	322
378	329
378	371
378	372
378	378
378	63
378	65
378	70
378	291
378	295
378	318
378	320
378	322
378	329
378	371
378	372
378	378
378	63
378	65
378	70
378	291
378	295
378	318
378	320
378	322
378	329
378	371
378	372
378	378
378	63
378	65
378	70
378	291
378	295
378	318
378	320
378	322
378	329
378	371
378	372
378	378
378	63
378	65
378	70
378	291
378	295
378	318
378	320
378	322
378	329
378	371
378	372
378	378
