#Receptor_resid	Ligand_resid
350	75
350	137
350	142
350	143
350	144
350	145
350	146
350	150
350	170
350	171
350	172
350	173
350	227
350	228
350	229
350	231
350	232
350	233
350	239
350	258
350	259
350	260
350	261
350	262
350	263
350	314
350	316
350	317
350	350
350	75
350	137
350	142
350	143
350	144
350	145
350	146
350	150
350	170
350	171
350	172
350	173
350	227
350	228
350	229
350	231
350	232
350	233
350	239
350	258
350	259
350	260
350	261
350	262
350	263
350	314
350	316
350	317
350	350
350	75
350	137
350	142
350	143
350	144
350	145
350	146
350	150
350	170
350	171
350	172
350	173
350	227
350	228
350	229
350	231
350	232
350	233
350	239
350	258
350	259
350	260
350	261
350	262
350	263
350	314
350	316
350	317
350	350
350	75
350	137
350	142
350	143
350	144
350	145
350	146
350	150
350	170
350	171
350	172
350	173
350	227
350	228
350	229
350	231
350	232
350	233
350	239
350	258
350	259
350	260
350	261
350	262
350	263
350	314
350	316
350	317
350	350
350	75
350	137
350	142
350	143
350	144
350	145
350	146
350	150
350	170
350	171
350	172
350	173
350	227
350	228
350	229
350	231
350	232
350	233
350	239
350	258
350	259
350	260
350	261
350	262
350	263
350	314
350	316
350	317
350	350
350	75
350	137
350	142
350	143
350	144
350	145
350	146
350	150
350	170
350	171
350	172
350	173
350	227
350	228
350	229
350	231
350	232
350	233
350	239
350	258
350	259
350	260
350	261
350	262
350	263
350	314
350	316
350	317
350	350
350	75
350	137
350	142
350	143
350	144
350	145
350	146
350	150
350	170
350	171
350	172
350	173
350	227
350	228
350	229
350	231
350	232
350	233
350	239
350	258
350	259
350	260
350	261
350	262
350	263
350	314
350	316
350	317
350	350
350	75
350	137
350	142
350	143
350	144
350	145
350	146
350	150
350	170
350	171
350	172
350	173
350	227
350	228
350	229
350	231
350	232
350	233
350	239
350	258
350	259
350	260
350	261
350	262
350	263
350	314
350	316
350	317
350	350
350	75
350	137
350	142
350	143
350	144
350	145
350	146
350	150
350	170
350	171
350	172
350	173
350	227
350	228
350	229
350	231
350	232
350	233
350	239
350	258
350	259
350	260
350	261
350	262
350	263
350	314
350	316
350	317
350	350
350	75
350	137
350	142
350	143
350	144
350	145
350	146
350	150
350	170
350	171
350	172
350	173
350	227
350	228
350	229
350	231
350	232
350	233
350	239
350	258
350	259
350	260
350	261
350	262
350	263
350	314
350	316
350	317
350	350
350	75
350	137
350	142
350	143
350	144
350	145
350	146
350	150
350	170
350	171
350	172
350	173
350	227
350	228
350	229
350	231
350	232
350	233
350	239
350	258
350	259
350	260
350	261
350	262
350	263
350	314
350	316
350	317
350	350
350	75
350	137
350	142
350	143
350	144
350	145
350	146
350	150
350	170
350	171
350	172
350	173
350	227
350	228
350	229
350	231
350	232
350	233
350	239
350	258
350	259
350	260
350	261
350	262
350	263
350	314
350	316
350	317
350	350
350	75
350	137
350	142
350	143
350	144
350	145
350	146
350	150
350	170
350	171
350	172
350	173
350	227
350	228
350	229
350	231
350	232
350	233
350	239
350	258
350	259
350	260
350	261
350	262
350	263
350	314
350	316
350	317
350	350
350	75
350	137
350	142
350	143
350	144
350	145
350	146
350	150
350	170
350	171
350	172
350	173
350	227
350	228
350	229
350	231
350	232
350	233
350	239
350	258
350	259
350	260
350	261
350	262
350	263
350	314
350	316
350	317
350	350
350	75
350	137
350	142
350	143
350	144
350	145
350	146
350	150
350	170
350	171
350	172
350	173
350	227
350	228
350	229
350	231
350	232
350	233
350	239
350	258
350	259
350	260
350	261
350	262
350	263
350	314
350	316
350	317
350	350
350	75
350	137
350	142
350	143
350	144
350	145
350	146
350	150
350	170
350	171
350	172
350	173
350	227
350	228
350	229
350	231
350	232
350	233
350	239
350	258
350	259
350	260
350	261
350	262
350	263
350	314
350	316
350	317
350	350
350	75
350	137
350	142
350	143
350	144
350	145
350	146
350	150
350	170
350	171
350	172
350	173
350	227
350	228
350	229
350	231
350	232
350	233
350	239
350	258
350	259
350	260
350	261
350	262
350	263
350	314
350	316
350	317
350	350
350	75
350	137
350	142
350	143
350	144
350	145
350	146
350	150
350	170
350	171
350	172
350	173
350	227
350	228
350	229
350	231
350	232
350	233
350	239
350	258
350	259
350	260
350	261
350	262
350	263
350	314
350	316
350	317
350	350
350	75
350	137
350	142
350	143
350	144
350	145
350	146
350	150
350	170
350	171
350	172
350	173
350	227
350	228
350	229
350	231
350	232
350	233
350	239
350	258
350	259
350	260
350	261
350	262
350	263
350	314
350	316
350	317
350	350
350	75
350	137
350	142
350	143
350	144
350	145
350	146
350	150
350	170
350	171
350	172
350	173
350	227
350	228
350	229
350	231
350	232
350	233
350	239
350	258
350	259
350	260
350	261
350	262
350	263
350	314
350	316
350	317
350	350
350	75
350	137
350	142
350	143
350	144
350	145
350	146
350	150
350	170
350	171
350	172
350	173
350	227
350	228
350	229
350	231
350	232
350	233
350	239
350	258
350	259
350	260
350	261
350	262
350	263
350	314
350	316
350	317
350	350
