#Receptor_resid	Ligand_resid
27	13
27	14
27	17
27	18
27	19
27	20
27	22
27	27
27	13
27	14
27	17
27	18
27	19
27	20
27	22
27	27
27	13
27	14
27	17
27	18
27	19
27	20
27	22
27	27
27	13
27	14
27	17
27	18
27	19
27	20
27	22
27	27
27	13
27	14
27	17
27	18
27	19
27	20
27	22
27	27
27	13
27	14
27	17
27	18
27	19
27	20
27	22
27	27
27	13
27	14
27	17
27	18
27	19
27	20
27	22
27	27
27	13
27	14
27	17
27	18
27	19
27	20
27	22
27	27
27	13
27	14
27	17
27	18
27	19
27	20
27	22
27	27
27	13
27	14
27	17
27	18
27	19
27	20
27	22
27	27
27	13
27	14
27	17
27	18
27	19
27	20
27	22
27	27
27	13
27	14
27	17
27	18
27	19
27	20
27	22
27	27
27	13
27	14
27	17
27	18
27	19
27	20
27	22
27	27
