#Receptor_resid	Ligand_resid
644	253
644	254
644	256
644	257
644	258
644	260
644	264
644	266
644	613
644	638
644	639
644	640
644	641
644	643
644	644
644	253
644	254
644	256
644	257
644	258
644	260
644	264
644	266
644	613
644	638
644	639
644	640
644	641
644	643
644	644
644	253
644	254
644	256
644	257
644	258
644	260
644	264
644	266
644	613
644	638
644	639
644	640
644	641
644	643
644	644
644	253
644	254
644	256
644	257
644	258
644	260
644	264
644	266
644	613
644	638
644	639
644	640
644	641
644	643
644	644
644	253
644	254
644	256
644	257
644	258
644	260
644	264
644	266
644	613
644	638
644	639
644	640
644	641
644	643
644	644
644	253
644	254
644	256
644	257
644	258
644	260
644	264
644	266
644	613
644	638
644	639
644	640
644	641
644	643
644	644
644	253
644	254
644	256
644	257
644	258
644	260
644	264
644	266
644	613
644	638
644	639
644	640
644	641
644	643
644	644
644	253
644	254
644	256
644	257
644	258
644	260
644	264
644	266
644	613
644	638
644	639
644	640
644	641
644	643
644	644
644	253
644	254
644	256
644	257
644	258
644	260
644	264
644	266
644	613
644	638
644	639
644	640
644	641
644	643
644	644
644	253
644	254
644	256
644	257
644	258
644	260
644	264
644	266
644	613
644	638
644	639
644	640
644	641
644	643
644	644
644	253
644	254
644	256
644	257
644	258
644	260
644	264
644	266
644	613
644	638
644	639
644	640
644	641
644	643
644	644
644	253
644	254
644	256
644	257
644	258
644	260
644	264
644	266
644	613
644	638
644	639
644	640
644	641
644	643
644	644
644	253
644	254
644	256
644	257
644	258
644	260
644	264
644	266
644	613
644	638
644	639
644	640
644	641
644	643
644	644
644	253
644	254
644	256
644	257
644	258
644	260
644	264
644	266
644	613
644	638
644	639
644	640
644	641
644	643
644	644
644	253
644	254
644	256
644	257
644	258
644	260
644	264
644	266
644	613
644	638
644	639
644	640
644	641
644	643
644	644
644	253
644	254
644	256
644	257
644	258
644	260
644	264
644	266
644	613
644	638
644	639
644	640
644	641
644	643
644	644
644	253
644	254
644	256
644	257
644	258
644	260
644	264
644	266
644	613
644	638
644	639
644	640
644	641
644	643
644	644
