#Receptor_resid	Ligand_resid
1589	1419
1589	1420
1589	1422
1589	1458
1589	1459
1589	1460
1589	1461
1589	1463
1589	1526
1589	1533
1589	1535
1589	1536
1589	1538
1589	1588
1589	1589
1589	1419
1589	1420
1589	1422
1589	1458
1589	1459
1589	1460
1589	1461
1589	1463
1589	1526
1589	1533
1589	1535
1589	1536
1589	1538
1589	1588
1589	1589
1589	1419
1589	1420
1589	1422
1589	1458
1589	1459
1589	1460
1589	1461
1589	1463
1589	1526
1589	1533
1589	1535
1589	1536
1589	1538
1589	1588
1589	1589
1589	1419
1589	1420
1589	1422
1589	1458
1589	1459
1589	1460
1589	1461
1589	1463
1589	1526
1589	1533
1589	1535
1589	1536
1589	1538
1589	1588
1589	1589
1589	1419
1589	1420
1589	1422
1589	1458
1589	1459
1589	1460
1589	1461
1589	1463
1589	1526
1589	1533
1589	1535
1589	1536
1589	1538
1589	1588
1589	1589
1589	1419
1589	1420
1589	1422
1589	1458
1589	1459
1589	1460
1589	1461
1589	1463
1589	1526
1589	1533
1589	1535
1589	1536
1589	1538
1589	1588
1589	1589
1589	1419
1589	1420
1589	1422
1589	1458
1589	1459
1589	1460
1589	1461
1589	1463
1589	1526
1589	1533
1589	1535
1589	1536
1589	1538
1589	1588
1589	1589
1589	1419
1589	1420
1589	1422
1589	1458
1589	1459
1589	1460
1589	1461
1589	1463
1589	1526
1589	1533
1589	1535
1589	1536
1589	1538
1589	1588
1589	1589
1589	1419
1589	1420
1589	1422
1589	1458
1589	1459
1589	1460
1589	1461
1589	1463
1589	1526
1589	1533
1589	1535
1589	1536
1589	1538
1589	1588
1589	1589
1589	1419
1589	1420
1589	1422
1589	1458
1589	1459
1589	1460
1589	1461
1589	1463
1589	1526
1589	1533
1589	1535
1589	1536
1589	1538
1589	1588
1589	1589
1589	1419
1589	1420
1589	1422
1589	1458
1589	1459
1589	1460
1589	1461
1589	1463
1589	1526
1589	1533
1589	1535
1589	1536
1589	1538
1589	1588
1589	1589
1589	1419
1589	1420
1589	1422
1589	1458
1589	1459
1589	1460
1589	1461
1589	1463
1589	1526
1589	1533
1589	1535
1589	1536
1589	1538
1589	1588
1589	1589
1589	1419
1589	1420
1589	1422
1589	1458
1589	1459
1589	1460
1589	1461
1589	1463
1589	1526
1589	1533
1589	1535
1589	1536
1589	1538
1589	1588
1589	1589
1589	1419
1589	1420
1589	1422
1589	1458
1589	1459
1589	1460
1589	1461
1589	1463
1589	1526
1589	1533
1589	1535
1589	1536
1589	1538
1589	1588
1589	1589
1589	1419
1589	1420
1589	1422
1589	1458
1589	1459
1589	1460
1589	1461
1589	1463
1589	1526
1589	1533
1589	1535
1589	1536
1589	1538
1589	1588
1589	1589
1589	1419
1589	1420
1589	1422
1589	1458
1589	1459
1589	1460
1589	1461
1589	1463
1589	1526
1589	1533
1589	1535
1589	1536
1589	1538
1589	1588
1589	1589
1589	1419
1589	1420
1589	1422
1589	1458
1589	1459
1589	1460
1589	1461
1589	1463
1589	1526
1589	1533
1589	1535
1589	1536
1589	1538
1589	1588
1589	1589
