#Receptor_resid	Ligand_resid
597	306
597	395
597	396
597	397
597	398
597	399
597	400
597	498
597	499
597	597
597	306
597	395
597	396
597	397
597	398
597	399
597	400
597	498
597	499
597	597
597	306
597	395
597	396
597	397
597	398
597	399
597	400
597	498
597	499
597	597
597	306
597	395
597	396
597	397
597	398
597	399
597	400
597	498
597	499
597	597
597	306
597	395
597	396
597	397
597	398
597	399
597	400
597	498
597	499
597	597
597	306
597	395
597	396
597	397
597	398
597	399
597	400
597	498
597	499
597	597
597	306
597	395
597	396
597	397
597	398
597	399
597	400
597	498
597	499
597	597
597	306
597	395
597	396
597	397
597	398
597	399
597	400
597	498
597	499
597	597
597	306
597	395
597	396
597	397
597	398
597	399
597	400
597	498
597	499
597	597
597	306
597	395
597	396
597	397
597	398
597	399
597	400
597	498
597	499
597	597
