#Receptor_resid	Ligand_resid
406	58
406	136
406	137
406	140
406	143
406	144
406	145
406	146
406	185
406	186
406	188
406	405
406	406
406	58
406	136
406	137
406	140
406	143
406	144
406	145
406	146
406	185
406	186
406	188
406	405
406	406
406	58
406	136
406	137
406	140
406	143
406	144
406	145
406	146
406	185
406	186
406	188
406	405
406	406
406	58
406	136
406	137
406	140
406	143
406	144
406	145
406	146
406	185
406	186
406	188
406	405
406	406
406	58
406	136
406	137
406	140
406	143
406	144
406	145
406	146
406	185
406	186
406	188
406	405
406	406
406	58
406	136
406	137
406	140
406	143
406	144
406	145
406	146
406	185
406	186
406	188
406	405
406	406
406	58
406	136
406	137
406	140
406	143
406	144
406	145
406	146
406	185
406	186
406	188
406	405
406	406
406	58
406	136
406	137
406	140
406	143
406	144
406	145
406	146
406	185
406	186
406	188
406	405
406	406
406	58
406	136
406	137
406	140
406	143
406	144
406	145
406	146
406	185
406	186
406	188
406	405
406	406
406	58
406	136
406	137
406	140
406	143
406	144
406	145
406	146
406	185
406	186
406	188
406	405
406	406
406	58
406	136
406	137
406	140
406	143
406	144
406	145
406	146
406	185
406	186
406	188
406	405
406	406
406	58
406	136
406	137
406	140
406	143
406	144
406	145
406	146
406	185
406	186
406	188
406	405
406	406
