#Receptor_resid	Ligand_resid
134	7
134	36
134	40
134	41
134	42
134	47
134	49
134	52
134	70
134	73
134	74
134	75
134	77
134	79
134	80
134	81
134	83
134	94
134	100
134	106
134	123
134	125
134	127
134	132
134	134
134	7
134	36
134	40
134	41
134	42
134	47
134	49
134	52
134	70
134	73
134	74
134	75
134	77
134	79
134	80
134	81
134	83
134	94
134	100
134	106
134	123
134	125
134	127
134	132
134	134
134	7
134	36
134	40
134	41
134	42
134	47
134	49
134	52
134	70
134	73
134	74
134	75
134	77
134	79
134	80
134	81
134	83
134	94
134	100
134	106
134	123
134	125
134	127
134	132
134	134
134	7
134	36
134	40
134	41
134	42
134	47
134	49
134	52
134	70
134	73
134	74
134	75
134	77
134	79
134	80
134	81
134	83
134	94
134	100
134	106
134	123
134	125
134	127
134	132
134	134
134	7
134	36
134	40
134	41
134	42
134	47
134	49
134	52
134	70
134	73
134	74
134	75
134	77
134	79
134	80
134	81
134	83
134	94
134	100
134	106
134	123
134	125
134	127
134	132
134	134
134	7
134	36
134	40
134	41
134	42
134	47
134	49
134	52
134	70
134	73
134	74
134	75
134	77
134	79
134	80
134	81
134	83
134	94
134	100
134	106
134	123
134	125
134	127
134	132
134	134
134	7
134	36
134	40
134	41
134	42
134	47
134	49
134	52
134	70
134	73
134	74
134	75
134	77
134	79
134	80
134	81
134	83
134	94
134	100
134	106
134	123
134	125
134	127
134	132
134	134
134	7
134	36
134	40
134	41
134	42
134	47
134	49
134	52
134	70
134	73
134	74
134	75
134	77
134	79
134	80
134	81
134	83
134	94
134	100
134	106
134	123
134	125
134	127
134	132
134	134
134	7
134	36
134	40
134	41
134	42
134	47
134	49
134	52
134	70
134	73
134	74
134	75
134	77
134	79
134	80
134	81
134	83
134	94
134	100
134	106
134	123
134	125
134	127
134	132
134	134
134	7
134	36
134	40
134	41
134	42
134	47
134	49
134	52
134	70
134	73
134	74
134	75
134	77
134	79
134	80
134	81
134	83
134	94
134	100
134	106
134	123
134	125
134	127
134	132
134	134
134	7
134	36
134	40
134	41
134	42
134	47
134	49
134	52
134	70
134	73
134	74
134	75
134	77
134	79
134	80
134	81
134	83
134	94
134	100
134	106
134	123
134	125
134	127
134	132
134	134
134	7
134	36
134	40
134	41
134	42
134	47
134	49
134	52
134	70
134	73
134	74
134	75
134	77
134	79
134	80
134	81
134	83
134	94
134	100
134	106
134	123
134	125
134	127
134	132
134	134
134	7
134	36
134	40
134	41
134	42
134	47
134	49
134	52
134	70
134	73
134	74
134	75
134	77
134	79
134	80
134	81
134	83
134	94
134	100
134	106
134	123
134	125
134	127
134	132
134	134
134	7
134	36
134	40
134	41
134	42
134	47
134	49
134	52
134	70
134	73
134	74
134	75
134	77
134	79
134	80
134	81
134	83
134	94
134	100
134	106
134	123
134	125
134	127
134	132
134	134
134	7
134	36
134	40
134	41
134	42
134	47
134	49
134	52
134	70
134	73
134	74
134	75
134	77
134	79
134	80
134	81
134	83
134	94
134	100
134	106
134	123
134	125
134	127
134	132
134	134
134	7
134	36
134	40
134	41
134	42
134	47
134	49
134	52
134	70
134	73
134	74
134	75
134	77
134	79
134	80
134	81
134	83
134	94
134	100
134	106
134	123
134	125
134	127
134	132
134	134
134	7
134	36
134	40
134	41
134	42
134	47
134	49
134	52
134	70
134	73
134	74
134	75
134	77
134	79
134	80
134	81
134	83
134	94
134	100
134	106
134	123
134	125
134	127
134	132
134	134
134	7
134	36
134	40
134	41
134	42
134	47
134	49
134	52
134	70
134	73
134	74
134	75
134	77
134	79
134	80
134	81
134	83
134	94
134	100
134	106
134	123
134	125
134	127
134	132
134	134
134	7
134	36
134	40
134	41
134	42
134	47
134	49
134	52
134	70
134	73
134	74
134	75
134	77
134	79
134	80
134	81
134	83
134	94
134	100
134	106
134	123
134	125
134	127
134	132
134	134
134	7
134	36
134	40
134	41
134	42
134	47
134	49
134	52
134	70
134	73
134	74
134	75
134	77
134	79
134	80
134	81
134	83
134	94
134	100
134	106
134	123
134	125
134	127
134	132
134	134
134	7
134	36
134	40
134	41
134	42
134	47
134	49
134	52
134	70
134	73
134	74
134	75
134	77
134	79
134	80
134	81
134	83
134	94
134	100
134	106
134	123
134	125
134	127
134	132
134	134
