#Receptor_resid	Ligand_resid
282	44
282	106
282	107
282	237
282	241
282	244
282	248
282	251
282	252
282	253
282	256
282	257
282	259
282	282
282	44
282	106
282	107
282	237
282	241
282	244
282	248
282	251
282	252
282	253
282	256
282	257
282	259
282	282
282	44
282	106
282	107
282	237
282	241
282	244
282	248
282	251
282	252
282	253
282	256
282	257
282	259
282	282
282	44
282	106
282	107
282	237
282	241
282	244
282	248
282	251
282	252
282	253
282	256
282	257
282	259
282	282
282	44
282	106
282	107
282	237
282	241
282	244
282	248
282	251
282	252
282	253
282	256
282	257
282	259
282	282
282	44
282	106
282	107
282	237
282	241
282	244
282	248
282	251
282	252
282	253
282	256
282	257
282	259
282	282
282	44
282	106
282	107
282	237
282	241
282	244
282	248
282	251
282	252
282	253
282	256
282	257
282	259
282	282
282	44
282	106
282	107
282	237
282	241
282	244
282	248
282	251
282	252
282	253
282	256
282	257
282	259
282	282
282	44
282	106
282	107
282	237
282	241
282	244
282	248
282	251
282	252
282	253
282	256
282	257
282	259
282	282
282	44
282	106
282	107
282	237
282	241
282	244
282	248
282	251
282	252
282	253
282	256
282	257
282	259
282	282
282	44
282	106
282	107
282	237
282	241
282	244
282	248
282	251
282	252
282	253
282	256
282	257
282	259
282	282
282	44
282	106
282	107
282	237
282	241
282	244
282	248
282	251
282	252
282	253
282	256
282	257
282	259
282	282
282	44
282	106
282	107
282	237
282	241
282	244
282	248
282	251
282	252
282	253
282	256
282	257
282	259
282	282
282	44
282	106
282	107
282	237
282	241
282	244
282	248
282	251
282	252
282	253
282	256
282	257
282	259
282	282
282	44
282	106
282	107
282	237
282	241
282	244
282	248
282	251
282	252
282	253
282	256
282	257
282	259
282	282
