#Receptor_resid	Ligand_resid
172	40
172	46
172	50
172	53
172	54
172	101
172	102
172	103
172	104
172	105
172	106
172	107
172	108
172	109
172	168
172	171
172	172
172	40
172	46
172	50
172	53
172	54
172	101
172	102
172	103
172	104
172	105
172	106
172	107
172	108
172	109
172	168
172	171
172	172
172	40
172	46
172	50
172	53
172	54
172	101
172	102
172	103
172	104
172	105
172	106
172	107
172	108
172	109
172	168
172	171
172	172
172	40
172	46
172	50
172	53
172	54
172	101
172	102
172	103
172	104
172	105
172	106
172	107
172	108
172	109
172	168
172	171
172	172
172	40
172	46
172	50
172	53
172	54
172	101
172	102
172	103
172	104
172	105
172	106
172	107
172	108
172	109
172	168
172	171
172	172
172	40
172	46
172	50
172	53
172	54
172	101
172	102
172	103
172	104
172	105
172	106
172	107
172	108
172	109
172	168
172	171
172	172
172	40
172	46
172	50
172	53
172	54
172	101
172	102
172	103
172	104
172	105
172	106
172	107
172	108
172	109
172	168
172	171
172	172
172	40
172	46
172	50
172	53
172	54
172	101
172	102
172	103
172	104
172	105
172	106
172	107
172	108
172	109
172	168
172	171
172	172
172	40
172	46
172	50
172	53
172	54
172	101
172	102
172	103
172	104
172	105
172	106
172	107
172	108
172	109
172	168
172	171
172	172
172	40
172	46
172	50
172	53
172	54
172	101
172	102
172	103
172	104
172	105
172	106
172	107
172	108
172	109
172	168
172	171
172	172
172	40
172	46
172	50
172	53
172	54
172	101
172	102
172	103
172	104
172	105
172	106
172	107
172	108
172	109
172	168
172	171
172	172
172	40
172	46
172	50
172	53
172	54
172	101
172	102
172	103
172	104
172	105
172	106
172	107
172	108
172	109
172	168
172	171
172	172
172	40
172	46
172	50
172	53
172	54
172	101
172	102
172	103
172	104
172	105
172	106
172	107
172	108
172	109
172	168
172	171
172	172
