#Receptor_resid	Ligand_resid
355	140
355	143
355	144
355	145
355	146
355	147
355	148
355	149
355	169
355	330
355	331
355	332
355	334
355	341
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	140
355	143
355	144
355	145
355	146
355	147
355	148
355	149
355	169
355	330
355	331
355	332
355	334
355	341
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	140
355	143
355	144
355	145
355	146
355	147
355	148
355	149
355	169
355	330
355	331
355	332
355	334
355	341
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	140
355	143
355	144
355	145
355	146
355	147
355	148
355	149
355	169
355	330
355	331
355	332
355	334
355	341
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	140
355	143
355	144
355	145
355	146
355	147
355	148
355	149
355	169
355	330
355	331
355	332
355	334
355	341
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	140
355	143
355	144
355	145
355	146
355	147
355	148
355	149
355	169
355	330
355	331
355	332
355	334
355	341
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	140
355	143
355	144
355	145
355	146
355	147
355	148
355	149
355	169
355	330
355	331
355	332
355	334
355	341
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	140
355	143
355	144
355	145
355	146
355	147
355	148
355	149
355	169
355	330
355	331
355	332
355	334
355	341
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	140
355	143
355	144
355	145
355	146
355	147
355	148
355	149
355	169
355	330
355	331
355	332
355	334
355	341
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	140
355	143
355	144
355	145
355	146
355	147
355	148
355	149
355	169
355	330
355	331
355	332
355	334
355	341
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	140
355	143
355	144
355	145
355	146
355	147
355	148
355	149
355	169
355	330
355	331
355	332
355	334
355	341
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	140
355	143
355	144
355	145
355	146
355	147
355	148
355	149
355	169
355	330
355	331
355	332
355	334
355	341
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	140
355	143
355	144
355	145
355	146
355	147
355	148
355	149
355	169
355	330
355	331
355	332
355	334
355	341
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	140
355	143
355	144
355	145
355	146
355	147
355	148
355	149
355	169
355	330
355	331
355	332
355	334
355	341
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	140
355	143
355	144
355	145
355	146
355	147
355	148
355	149
355	169
355	330
355	331
355	332
355	334
355	341
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	140
355	143
355	144
355	145
355	146
355	147
355	148
355	149
355	169
355	330
355	331
355	332
355	334
355	341
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	140
355	143
355	144
355	145
355	146
355	147
355	148
355	149
355	169
355	330
355	331
355	332
355	334
355	341
355	345
355	346
355	348
355	349
355	350
355	351
355	355
355	140
355	143
355	144
355	145
355	146
355	147
355	148
355	149
355	169
355	330
355	331
355	332
355	334
355	341
355	345
355	346
355	348
355	349
355	350
355	351
355	355
