#Receptor_resid	Ligand_resid
602	33
602	92
602	93
602	530
602	531
602	532
602	552
602	554
602	555
602	557
602	574
602	601
602	602
602	33
602	92
602	93
602	530
602	531
602	532
602	552
602	554
602	555
602	557
602	574
602	601
602	602
602	33
602	92
602	93
602	530
602	531
602	532
602	552
602	554
602	555
602	557
602	574
602	601
602	602
602	33
602	92
602	93
602	530
602	531
602	532
602	552
602	554
602	555
602	557
602	574
602	601
602	602
602	33
602	92
602	93
602	530
602	531
602	532
602	552
602	554
602	555
602	557
602	574
602	601
602	602
602	33
602	92
602	93
602	530
602	531
602	532
602	552
602	554
602	555
602	557
602	574
602	601
602	602
602	33
602	92
602	93
602	530
602	531
602	532
602	552
602	554
602	555
602	557
602	574
602	601
602	602
602	33
602	92
602	93
602	530
602	531
602	532
602	552
602	554
602	555
602	557
602	574
602	601
602	602
602	33
602	92
602	93
602	530
602	531
602	532
602	552
602	554
602	555
602	557
602	574
602	601
602	602
602	33
602	92
602	93
602	530
602	531
602	532
602	552
602	554
602	555
602	557
602	574
602	601
602	602
602	33
602	92
602	93
602	530
602	531
602	532
602	552
602	554
602	555
602	557
602	574
602	601
602	602
602	33
602	92
602	93
602	530
602	531
602	532
602	552
602	554
602	555
602	557
602	574
602	601
602	602
602	33
602	92
602	93
602	530
602	531
602	532
602	552
602	554
602	555
602	557
602	574
602	601
602	602
