#Receptor_resid	Ligand_resid
603	49
603	530
603	531
603	532
603	533
603	552
603	554
603	555
603	557
603	601
603	602
603	603
603	49
603	530
603	531
603	532
603	533
603	552
603	554
603	555
603	557
603	601
603	602
603	603
603	49
603	530
603	531
603	532
603	533
603	552
603	554
603	555
603	557
603	601
603	602
603	603
603	49
603	530
603	531
603	532
603	533
603	552
603	554
603	555
603	557
603	601
603	602
603	603
603	49
603	530
603	531
603	532
603	533
603	552
603	554
603	555
603	557
603	601
603	602
603	603
603	49
603	530
603	531
603	532
603	533
603	552
603	554
603	555
603	557
603	601
603	602
603	603
603	49
603	530
603	531
603	532
603	533
603	552
603	554
603	555
603	557
603	601
603	602
603	603
603	49
603	530
603	531
603	532
603	533
603	552
603	554
603	555
603	557
603	601
603	602
603	603
603	49
603	530
603	531
603	532
603	533
603	552
603	554
603	555
603	557
603	601
603	602
603	603
603	49
603	530
603	531
603	532
603	533
603	552
603	554
603	555
603	557
603	601
603	602
603	603
603	49
603	530
603	531
603	532
603	533
603	552
603	554
603	555
603	557
603	601
603	602
603	603
603	49
603	530
603	531
603	532
603	533
603	552
603	554
603	555
603	557
603	601
603	602
603	603
603	49
603	530
603	531
603	532
603	533
603	552
603	554
603	555
603	557
603	601
603	602
603	603
603	49
603	530
603	531
603	532
603	533
603	552
603	554
603	555
603	557
603	601
603	602
603	603
