#Receptor_resid	Ligand_resid
108	4
108	20
108	22
108	24
108	86
108	88
108	90
108	93
108	99
108	104
108	106
108	108
108	4
108	20
108	22
108	24
108	86
108	88
108	90
108	93
108	99
108	104
108	106
108	108
108	4
108	20
108	22
108	24
108	86
108	88
108	90
108	93
108	99
108	104
108	106
108	108
108	4
108	20
108	22
108	24
108	86
108	88
108	90
108	93
108	99
108	104
108	106
108	108
108	4
108	20
108	22
108	24
108	86
108	88
108	90
108	93
108	99
108	104
108	106
108	108
108	4
108	20
108	22
108	24
108	86
108	88
108	90
108	93
108	99
108	104
108	106
108	108
108	4
108	20
108	22
108	24
108	86
108	88
108	90
108	93
108	99
108	104
108	106
108	108
108	4
108	20
108	22
108	24
108	86
108	88
108	90
108	93
108	99
108	104
108	106
108	108
108	4
108	20
108	22
108	24
108	86
108	88
108	90
108	93
108	99
108	104
108	106
108	108
108	4
108	20
108	22
108	24
108	86
108	88
108	90
108	93
108	99
108	104
108	106
108	108
108	4
108	20
108	22
108	24
108	86
108	88
108	90
108	93
108	99
108	104
108	106
108	108
108	4
108	20
108	22
108	24
108	86
108	88
108	90
108	93
108	99
108	104
108	106
108	108
108	4
108	20
108	22
108	24
108	86
108	88
108	90
108	93
108	99
108	104
108	106
108	108
