#Receptor_resid	Ligand_resid
44	9
44	10
44	11
44	12
44	16
44	17
44	20
44	21
44	23
44	24
44	27
44	37
44	38
44	39
44	41
44	42
44	44
44	9
44	10
44	11
44	12
44	16
44	17
44	20
44	21
44	23
44	24
44	27
44	37
44	38
44	39
44	41
44	42
44	44
44	9
44	10
44	11
44	12
44	16
44	17
44	20
44	21
44	23
44	24
44	27
44	37
44	38
44	39
44	41
44	42
44	44
44	9
44	10
44	11
44	12
44	16
44	17
44	20
44	21
44	23
44	24
44	27
44	37
44	38
44	39
44	41
44	42
44	44
44	9
44	10
44	11
44	12
44	16
44	17
44	20
44	21
44	23
44	24
44	27
44	37
44	38
44	39
44	41
44	42
44	44
44	9
44	10
44	11
44	12
44	16
44	17
44	20
44	21
44	23
44	24
44	27
44	37
44	38
44	39
44	41
44	42
44	44
44	9
44	10
44	11
44	12
44	16
44	17
44	20
44	21
44	23
44	24
44	27
44	37
44	38
44	39
44	41
44	42
44	44
44	9
44	10
44	11
44	12
44	16
44	17
44	20
44	21
44	23
44	24
44	27
44	37
44	38
44	39
44	41
44	42
44	44
44	9
44	10
44	11
44	12
44	16
44	17
44	20
44	21
44	23
44	24
44	27
44	37
44	38
44	39
44	41
44	42
44	44
44	9
44	10
44	11
44	12
44	16
44	17
44	20
44	21
44	23
44	24
44	27
44	37
44	38
44	39
44	41
44	42
44	44
44	9
44	10
44	11
44	12
44	16
44	17
44	20
44	21
44	23
44	24
44	27
44	37
44	38
44	39
44	41
44	42
44	44
44	9
44	10
44	11
44	12
44	16
44	17
44	20
44	21
44	23
44	24
44	27
44	37
44	38
44	39
44	41
44	42
44	44
44	9
44	10
44	11
44	12
44	16
44	17
44	20
44	21
44	23
44	24
44	27
44	37
44	38
44	39
44	41
44	42
44	44
44	9
44	10
44	11
44	12
44	16
44	17
44	20
44	21
44	23
44	24
44	27
44	37
44	38
44	39
44	41
44	42
44	44
44	9
44	10
44	11
44	12
44	16
44	17
44	20
44	21
44	23
44	24
44	27
44	37
44	38
44	39
44	41
44	42
44	44
44	9
44	10
44	11
44	12
44	16
44	17
44	20
44	21
44	23
44	24
44	27
44	37
44	38
44	39
44	41
44	42
44	44
44	9
44	10
44	11
44	12
44	16
44	17
44	20
44	21
44	23
44	24
44	27
44	37
44	38
44	39
44	41
44	42
44	44
44	9
44	10
44	11
44	12
44	16
44	17
44	20
44	21
44	23
44	24
44	27
44	37
44	38
44	39
44	41
44	42
44	44
44	9
44	10
44	11
44	12
44	16
44	17
44	20
44	21
44	23
44	24
44	27
44	37
44	38
44	39
44	41
44	42
44	44
44	9
44	10
44	11
44	12
44	16
44	17
44	20
44	21
44	23
44	24
44	27
44	37
44	38
44	39
44	41
44	42
44	44
