#Receptor_resid	Ligand_resid
606	26
606	28
606	29
606	30
606	31
606	49
606	50
606	52
606	65
606	90
606	91
606	92
606	528
606	531
606	532
606	600
606	603
606	605
606	606
606	26
606	28
606	29
606	30
606	31
606	49
606	50
606	52
606	65
606	90
606	91
606	92
606	528
606	531
606	532
606	600
606	603
606	605
606	606
606	26
606	28
606	29
606	30
606	31
606	49
606	50
606	52
606	65
606	90
606	91
606	92
606	528
606	531
606	532
606	600
606	603
606	605
606	606
606	26
606	28
606	29
606	30
606	31
606	49
606	50
606	52
606	65
606	90
606	91
606	92
606	528
606	531
606	532
606	600
606	603
606	605
606	606
606	26
606	28
606	29
606	30
606	31
606	49
606	50
606	52
606	65
606	90
606	91
606	92
606	528
606	531
606	532
606	600
606	603
606	605
606	606
606	26
606	28
606	29
606	30
606	31
606	49
606	50
606	52
606	65
606	90
606	91
606	92
606	528
606	531
606	532
606	600
606	603
606	605
606	606
606	26
606	28
606	29
606	30
606	31
606	49
606	50
606	52
606	65
606	90
606	91
606	92
606	528
606	531
606	532
606	600
606	603
606	605
606	606
606	26
606	28
606	29
606	30
606	31
606	49
606	50
606	52
606	65
606	90
606	91
606	92
606	528
606	531
606	532
606	600
606	603
606	605
606	606
606	26
606	28
606	29
606	30
606	31
606	49
606	50
606	52
606	65
606	90
606	91
606	92
606	528
606	531
606	532
606	600
606	603
606	605
606	606
606	26
606	28
606	29
606	30
606	31
606	49
606	50
606	52
606	65
606	90
606	91
606	92
606	528
606	531
606	532
606	600
606	603
606	605
606	606
606	26
606	28
606	29
606	30
606	31
606	49
606	50
606	52
606	65
606	90
606	91
606	92
606	528
606	531
606	532
606	600
606	603
606	605
606	606
606	26
606	28
606	29
606	30
606	31
606	49
606	50
606	52
606	65
606	90
606	91
606	92
606	528
606	531
606	532
606	600
606	603
606	605
606	606
606	26
606	28
606	29
606	30
606	31
606	49
606	50
606	52
606	65
606	90
606	91
606	92
606	528
606	531
606	532
606	600
606	603
606	605
606	606
