#Receptor_resid	Ligand_resid
603	30
603	32
603	49
603	91
603	92
603	93
603	94
603	527
603	528
603	531
603	532
603	533
603	559
603	598
603	599
603	600
603	601
603	602
603	603
603	30
603	32
603	49
603	91
603	92
603	93
603	94
603	527
603	528
603	531
603	532
603	533
603	559
603	598
603	599
603	600
603	601
603	602
603	603
603	30
603	32
603	49
603	91
603	92
603	93
603	94
603	527
603	528
603	531
603	532
603	533
603	559
603	598
603	599
603	600
603	601
603	602
603	603
603	30
603	32
603	49
603	91
603	92
603	93
603	94
603	527
603	528
603	531
603	532
603	533
603	559
603	598
603	599
603	600
603	601
603	602
603	603
603	30
603	32
603	49
603	91
603	92
603	93
603	94
603	527
603	528
603	531
603	532
603	533
603	559
603	598
603	599
603	600
603	601
603	602
603	603
603	30
603	32
603	49
603	91
603	92
603	93
603	94
603	527
603	528
603	531
603	532
603	533
603	559
603	598
603	599
603	600
603	601
603	602
603	603
603	30
603	32
603	49
603	91
603	92
603	93
603	94
603	527
603	528
603	531
603	532
603	533
603	559
603	598
603	599
603	600
603	601
603	602
603	603
603	30
603	32
603	49
603	91
603	92
603	93
603	94
603	527
603	528
603	531
603	532
603	533
603	559
603	598
603	599
603	600
603	601
603	602
603	603
603	30
603	32
603	49
603	91
603	92
603	93
603	94
603	527
603	528
603	531
603	532
603	533
603	559
603	598
603	599
603	600
603	601
603	602
603	603
603	30
603	32
603	49
603	91
603	92
603	93
603	94
603	527
603	528
603	531
603	532
603	533
603	559
603	598
603	599
603	600
603	601
603	602
603	603
603	30
603	32
603	49
603	91
603	92
603	93
603	94
603	527
603	528
603	531
603	532
603	533
603	559
603	598
603	599
603	600
603	601
603	602
603	603
603	30
603	32
603	49
603	91
603	92
603	93
603	94
603	527
603	528
603	531
603	532
603	533
603	559
603	598
603	599
603	600
603	601
603	602
603	603
603	30
603	32
603	49
603	91
603	92
603	93
603	94
603	527
603	528
603	531
603	532
603	533
603	559
603	598
603	599
603	600
603	601
603	602
603	603
603	30
603	32
603	49
603	91
603	92
603	93
603	94
603	527
603	528
603	531
603	532
603	533
603	559
603	598
603	599
603	600
603	601
603	602
603	603
603	30
603	32
603	49
603	91
603	92
603	93
603	94
603	527
603	528
603	531
603	532
603	533
603	559
603	598
603	599
603	600
603	601
603	602
603	603
603	30
603	32
603	49
603	91
603	92
603	93
603	94
603	527
603	528
603	531
603	532
603	533
603	559
603	598
603	599
603	600
603	601
603	602
603	603
603	30
603	32
603	49
603	91
603	92
603	93
603	94
603	527
603	528
603	531
603	532
603	533
603	559
603	598
603	599
603	600
603	601
603	602
603	603
