#Receptor_resid	Ligand_resid
605	32
605	91
605	92
605	532
605	554
605	555
605	556
605	558
605	560
605	603
605	604
605	605
605	32
605	91
605	92
605	532
605	554
605	555
605	556
605	558
605	560
605	603
605	604
605	605
605	32
605	91
605	92
605	532
605	554
605	555
605	556
605	558
605	560
605	603
605	604
605	605
605	32
605	91
605	92
605	532
605	554
605	555
605	556
605	558
605	560
605	603
605	604
605	605
605	32
605	91
605	92
605	532
605	554
605	555
605	556
605	558
605	560
605	603
605	604
605	605
605	32
605	91
605	92
605	532
605	554
605	555
605	556
605	558
605	560
605	603
605	604
605	605
605	32
605	91
605	92
605	532
605	554
605	555
605	556
605	558
605	560
605	603
605	604
605	605
605	32
605	91
605	92
605	532
605	554
605	555
605	556
605	558
605	560
605	603
605	604
605	605
605	32
605	91
605	92
605	532
605	554
605	555
605	556
605	558
605	560
605	603
605	604
605	605
605	32
605	91
605	92
605	532
605	554
605	555
605	556
605	558
605	560
605	603
605	604
605	605
