#Receptor_resid	Ligand_resid
805	193
805	207
805	208
805	243
805	244
805	245
805	279
805	280
805	281
805	282
805	283
805	284
805	762
805	763
805	764
805	800
805	801
805	802
805	803
805	804
805	805
805	193
805	207
805	208
805	243
805	244
805	245
805	279
805	280
805	281
805	282
805	283
805	284
805	762
805	763
805	764
805	800
805	801
805	802
805	803
805	804
805	805
805	193
805	207
805	208
805	243
805	244
805	245
805	279
805	280
805	281
805	282
805	283
805	284
805	762
805	763
805	764
805	800
805	801
805	802
805	803
805	804
805	805
805	193
805	207
805	208
805	243
805	244
805	245
805	279
805	280
805	281
805	282
805	283
805	284
805	762
805	763
805	764
805	800
805	801
805	802
805	803
805	804
805	805
805	193
805	207
805	208
805	243
805	244
805	245
805	279
805	280
805	281
805	282
805	283
805	284
805	762
805	763
805	764
805	800
805	801
805	802
805	803
805	804
805	805
805	193
805	207
805	208
805	243
805	244
805	245
805	279
805	280
805	281
805	282
805	283
805	284
805	762
805	763
805	764
805	800
805	801
805	802
805	803
805	804
805	805
805	193
805	207
805	208
805	243
805	244
805	245
805	279
805	280
805	281
805	282
805	283
805	284
805	762
805	763
805	764
805	800
805	801
805	802
805	803
805	804
805	805
805	193
805	207
805	208
805	243
805	244
805	245
805	279
805	280
805	281
805	282
805	283
805	284
805	762
805	763
805	764
805	800
805	801
805	802
805	803
805	804
805	805
805	193
805	207
805	208
805	243
805	244
805	245
805	279
805	280
805	281
805	282
805	283
805	284
805	762
805	763
805	764
805	800
805	801
805	802
805	803
805	804
805	805
805	193
805	207
805	208
805	243
805	244
805	245
805	279
805	280
805	281
805	282
805	283
805	284
805	762
805	763
805	764
805	800
805	801
805	802
805	803
805	804
805	805
805	193
805	207
805	208
805	243
805	244
805	245
805	279
805	280
805	281
805	282
805	283
805	284
805	762
805	763
805	764
805	800
805	801
805	802
805	803
805	804
805	805
805	193
805	207
805	208
805	243
805	244
805	245
805	279
805	280
805	281
805	282
805	283
805	284
805	762
805	763
805	764
805	800
805	801
805	802
805	803
805	804
805	805
805	193
805	207
805	208
805	243
805	244
805	245
805	279
805	280
805	281
805	282
805	283
805	284
805	762
805	763
805	764
805	800
805	801
805	802
805	803
805	804
805	805
805	193
805	207
805	208
805	243
805	244
805	245
805	279
805	280
805	281
805	282
805	283
805	284
805	762
805	763
805	764
805	800
805	801
805	802
805	803
805	804
805	805
805	193
805	207
805	208
805	243
805	244
805	245
805	279
805	280
805	281
805	282
805	283
805	284
805	762
805	763
805	764
805	800
805	801
805	802
805	803
805	804
805	805
805	193
805	207
805	208
805	243
805	244
805	245
805	279
805	280
805	281
805	282
805	283
805	284
805	762
805	763
805	764
805	800
805	801
805	802
805	803
805	804
805	805
805	193
805	207
805	208
805	243
805	244
805	245
805	279
805	280
805	281
805	282
805	283
805	284
805	762
805	763
805	764
805	800
805	801
805	802
805	803
805	804
805	805
805	193
805	207
805	208
805	243
805	244
805	245
805	279
805	280
805	281
805	282
805	283
805	284
805	762
805	763
805	764
805	800
805	801
805	802
805	803
805	804
805	805
805	193
805	207
805	208
805	243
805	244
805	245
805	279
805	280
805	281
805	282
805	283
805	284
805	762
805	763
805	764
805	800
805	801
805	802
805	803
805	804
805	805
805	193
805	207
805	208
805	243
805	244
805	245
805	279
805	280
805	281
805	282
805	283
805	284
805	762
805	763
805	764
805	800
805	801
805	802
805	803
805	804
805	805
805	193
805	207
805	208
805	243
805	244
805	245
805	279
805	280
805	281
805	282
805	283
805	284
805	762
805	763
805	764
805	800
805	801
805	802
805	803
805	804
805	805
