#Receptor_resid	Ligand_resid
833	40
833	41
833	42
833	45
833	46
833	48
833	49
833	52
833	53
833	55
833	56
833	67
833	220
833	237
833	833
833	40
833	41
833	42
833	45
833	46
833	48
833	49
833	52
833	53
833	55
833	56
833	67
833	220
833	237
833	833
833	40
833	41
833	42
833	45
833	46
833	48
833	49
833	52
833	53
833	55
833	56
833	67
833	220
833	237
833	833
833	40
833	41
833	42
833	45
833	46
833	48
833	49
833	52
833	53
833	55
833	56
833	67
833	220
833	237
833	833
833	40
833	41
833	42
833	45
833	46
833	48
833	49
833	52
833	53
833	55
833	56
833	67
833	220
833	237
833	833
833	40
833	41
833	42
833	45
833	46
833	48
833	49
833	52
833	53
833	55
833	56
833	67
833	220
833	237
833	833
833	40
833	41
833	42
833	45
833	46
833	48
833	49
833	52
833	53
833	55
833	56
833	67
833	220
833	237
833	833
833	40
833	41
833	42
833	45
833	46
833	48
833	49
833	52
833	53
833	55
833	56
833	67
833	220
833	237
833	833
833	40
833	41
833	42
833	45
833	46
833	48
833	49
833	52
833	53
833	55
833	56
833	67
833	220
833	237
833	833
833	40
833	41
833	42
833	45
833	46
833	48
833	49
833	52
833	53
833	55
833	56
833	67
833	220
833	237
833	833
833	40
833	41
833	42
833	45
833	46
833	48
833	49
833	52
833	53
833	55
833	56
833	67
833	220
833	237
833	833
833	40
833	41
833	42
833	45
833	46
833	48
833	49
833	52
833	53
833	55
833	56
833	67
833	220
833	237
833	833
833	40
833	41
833	42
833	45
833	46
833	48
833	49
833	52
833	53
833	55
833	56
833	67
833	220
833	237
833	833
833	40
833	41
833	42
833	45
833	46
833	48
833	49
833	52
833	53
833	55
833	56
833	67
833	220
833	237
833	833
