#Receptor_resid	Ligand_resid
316	30
316	31
316	32
316	49
316	50
316	53
316	54
316	56
316	91
316	92
316	243
316	244
316	266
316	312
316	313
316	314
316	315
316	316
316	30
316	31
316	32
316	49
316	50
316	53
316	54
316	56
316	91
316	92
316	243
316	244
316	266
316	312
316	313
316	314
316	315
316	316
316	30
316	31
316	32
316	49
316	50
316	53
316	54
316	56
316	91
316	92
316	243
316	244
316	266
316	312
316	313
316	314
316	315
316	316
316	30
316	31
316	32
316	49
316	50
316	53
316	54
316	56
316	91
316	92
316	243
316	244
316	266
316	312
316	313
316	314
316	315
316	316
316	30
316	31
316	32
316	49
316	50
316	53
316	54
316	56
316	91
316	92
316	243
316	244
316	266
316	312
316	313
316	314
316	315
316	316
316	30
316	31
316	32
316	49
316	50
316	53
316	54
316	56
316	91
316	92
316	243
316	244
316	266
316	312
316	313
316	314
316	315
316	316
316	30
316	31
316	32
316	49
316	50
316	53
316	54
316	56
316	91
316	92
316	243
316	244
316	266
316	312
316	313
316	314
316	315
316	316
316	30
316	31
316	32
316	49
316	50
316	53
316	54
316	56
316	91
316	92
316	243
316	244
316	266
316	312
316	313
316	314
316	315
316	316
316	30
316	31
316	32
316	49
316	50
316	53
316	54
316	56
316	91
316	92
316	243
316	244
316	266
316	312
316	313
316	314
316	315
316	316
316	30
316	31
316	32
316	49
316	50
316	53
316	54
316	56
316	91
316	92
316	243
316	244
316	266
316	312
316	313
316	314
316	315
316	316
316	30
316	31
316	32
316	49
316	50
316	53
316	54
316	56
316	91
316	92
316	243
316	244
316	266
316	312
316	313
316	314
316	315
316	316
316	30
316	31
316	32
316	49
316	50
316	53
316	54
316	56
316	91
316	92
316	243
316	244
316	266
316	312
316	313
316	314
316	315
316	316
316	30
316	31
316	32
316	49
316	50
316	53
316	54
316	56
316	91
316	92
316	243
316	244
316	266
316	312
316	313
316	314
316	315
316	316
316	30
316	31
316	32
316	49
316	50
316	53
316	54
316	56
316	91
316	92
316	243
316	244
316	266
316	312
316	313
316	314
316	315
316	316
316	30
316	31
316	32
316	49
316	50
316	53
316	54
316	56
316	91
316	92
316	243
316	244
316	266
316	312
316	313
316	314
316	315
316	316
316	30
316	31
316	32
316	49
316	50
316	53
316	54
316	56
316	91
316	92
316	243
316	244
316	266
316	312
316	313
316	314
316	315
316	316
316	30
316	31
316	32
316	49
316	50
316	53
316	54
316	56
316	91
316	92
316	243
316	244
316	266
316	312
316	313
316	314
316	315
316	316
316	30
316	31
316	32
316	49
316	50
316	53
316	54
316	56
316	91
316	92
316	243
316	244
316	266
316	312
316	313
316	314
316	315
316	316
316	30
316	31
316	32
316	49
316	50
316	53
316	54
316	56
316	91
316	92
316	243
316	244
316	266
316	312
316	313
316	314
316	315
316	316
316	30
316	31
316	32
316	49
316	50
316	53
316	54
316	56
316	91
316	92
316	243
316	244
316	266
316	312
316	313
316	314
316	315
316	316
316	30
316	31
316	32
316	49
316	50
316	53
316	54
316	56
316	91
316	92
316	243
316	244
316	266
316	312
316	313
316	314
316	315
316	316
