#Receptor_resid	Ligand_resid
570	536
570	537
570	558
570	562
570	563
570	565
570	566
570	568
570	570
570	536
570	537
570	558
570	562
570	563
570	565
570	566
570	568
570	570
570	536
570	537
570	558
570	562
570	563
570	565
570	566
570	568
570	570
570	536
570	537
570	558
570	562
570	563
570	565
570	566
570	568
570	570
570	536
570	537
570	558
570	562
570	563
570	565
570	566
570	568
570	570
570	536
570	537
570	558
570	562
570	563
570	565
570	566
570	568
570	570
570	536
570	537
570	558
570	562
570	563
570	565
570	566
570	568
570	570
570	536
570	537
570	558
570	562
570	563
570	565
570	566
570	568
570	570
570	536
570	537
570	558
570	562
570	563
570	565
570	566
570	568
570	570
