#Receptor_resid	Ligand_resid
391	303
391	304
391	305
391	306
391	330
391	381
391	384
391	385
391	388
391	389
391	390
391	391
391	303
391	304
391	305
391	306
391	330
391	381
391	384
391	385
391	388
391	389
391	390
391	391
391	303
391	304
391	305
391	306
391	330
391	381
391	384
391	385
391	388
391	389
391	390
391	391
391	303
391	304
391	305
391	306
391	330
391	381
391	384
391	385
391	388
391	389
391	390
391	391
391	303
391	304
391	305
391	306
391	330
391	381
391	384
391	385
391	388
391	389
391	390
391	391
391	303
391	304
391	305
391	306
391	330
391	381
391	384
391	385
391	388
391	389
391	390
391	391
391	303
391	304
391	305
391	306
391	330
391	381
391	384
391	385
391	388
391	389
391	390
391	391
391	303
391	304
391	305
391	306
391	330
391	381
391	384
391	385
391	388
391	389
391	390
391	391
391	303
391	304
391	305
391	306
391	330
391	381
391	384
391	385
391	388
391	389
391	390
391	391
391	303
391	304
391	305
391	306
391	330
391	381
391	384
391	385
391	388
391	389
391	390
391	391
391	303
391	304
391	305
391	306
391	330
391	381
391	384
391	385
391	388
391	389
391	390
391	391
