#Receptor_resid	Ligand_resid
607	30
607	32
607	50
607	53
607	92
607	530
607	531
607	532
607	554
607	555
607	602
607	603
607	604
607	605
607	606
607	607
607	30
607	32
607	50
607	53
607	92
607	530
607	531
607	532
607	554
607	555
607	602
607	603
607	604
607	605
607	606
607	607
607	30
607	32
607	50
607	53
607	92
607	530
607	531
607	532
607	554
607	555
607	602
607	603
607	604
607	605
607	606
607	607
607	30
607	32
607	50
607	53
607	92
607	530
607	531
607	532
607	554
607	555
607	602
607	603
607	604
607	605
607	606
607	607
607	30
607	32
607	50
607	53
607	92
607	530
607	531
607	532
607	554
607	555
607	602
607	603
607	604
607	605
607	606
607	607
607	30
607	32
607	50
607	53
607	92
607	530
607	531
607	532
607	554
607	555
607	602
607	603
607	604
607	605
607	606
607	607
607	30
607	32
607	50
607	53
607	92
607	530
607	531
607	532
607	554
607	555
607	602
607	603
607	604
607	605
607	606
607	607
607	30
607	32
607	50
607	53
607	92
607	530
607	531
607	532
607	554
607	555
607	602
607	603
607	604
607	605
607	606
607	607
607	30
607	32
607	50
607	53
607	92
607	530
607	531
607	532
607	554
607	555
607	602
607	603
607	604
607	605
607	606
607	607
607	30
607	32
607	50
607	53
607	92
607	530
607	531
607	532
607	554
607	555
607	602
607	603
607	604
607	605
607	606
607	607
607	30
607	32
607	50
607	53
607	92
607	530
607	531
607	532
607	554
607	555
607	602
607	603
607	604
607	605
607	606
607	607
607	30
607	32
607	50
607	53
607	92
607	530
607	531
607	532
607	554
607	555
607	602
607	603
607	604
607	605
607	606
607	607
607	30
607	32
607	50
607	53
607	92
607	530
607	531
607	532
607	554
607	555
607	602
607	603
607	604
607	605
607	606
607	607
