#Receptor_resid	Ligand_resid
191	44
191	45
191	46
191	47
191	48
191	49
191	50
191	52
191	76
191	77
191	80
191	82
191	96
191	98
191	100
191	102
191	103
191	187
191	191
191	44
191	45
191	46
191	47
191	48
191	49
191	50
191	52
191	76
191	77
191	80
191	82
191	96
191	98
191	100
191	102
191	103
191	187
191	191
191	44
191	45
191	46
191	47
191	48
191	49
191	50
191	52
191	76
191	77
191	80
191	82
191	96
191	98
191	100
191	102
191	103
191	187
191	191
191	44
191	45
191	46
191	47
191	48
191	49
191	50
191	52
191	76
191	77
191	80
191	82
191	96
191	98
191	100
191	102
191	103
191	187
191	191
191	44
191	45
191	46
191	47
191	48
191	49
191	50
191	52
191	76
191	77
191	80
191	82
191	96
191	98
191	100
191	102
191	103
191	187
191	191
191	44
191	45
191	46
191	47
191	48
191	49
191	50
191	52
191	76
191	77
191	80
191	82
191	96
191	98
191	100
191	102
191	103
191	187
191	191
191	44
191	45
191	46
191	47
191	48
191	49
191	50
191	52
191	76
191	77
191	80
191	82
191	96
191	98
191	100
191	102
191	103
191	187
191	191
191	44
191	45
191	46
191	47
191	48
191	49
191	50
191	52
191	76
191	77
191	80
191	82
191	96
191	98
191	100
191	102
191	103
191	187
191	191
191	44
191	45
191	46
191	47
191	48
191	49
191	50
191	52
191	76
191	77
191	80
191	82
191	96
191	98
191	100
191	102
191	103
191	187
191	191
191	44
191	45
191	46
191	47
191	48
191	49
191	50
191	52
191	76
191	77
191	80
191	82
191	96
191	98
191	100
191	102
191	103
191	187
191	191
191	44
191	45
191	46
191	47
191	48
191	49
191	50
191	52
191	76
191	77
191	80
191	82
191	96
191	98
191	100
191	102
191	103
191	187
191	191
191	44
191	45
191	46
191	47
191	48
191	49
191	50
191	52
191	76
191	77
191	80
191	82
191	96
191	98
191	100
191	102
191	103
191	187
191	191
191	44
191	45
191	46
191	47
191	48
191	49
191	50
191	52
191	76
191	77
191	80
191	82
191	96
191	98
191	100
191	102
191	103
191	187
191	191
191	44
191	45
191	46
191	47
191	48
191	49
191	50
191	52
191	76
191	77
191	80
191	82
191	96
191	98
191	100
191	102
191	103
191	187
191	191
191	44
191	45
191	46
191	47
191	48
191	49
191	50
191	52
191	76
191	77
191	80
191	82
191	96
191	98
191	100
191	102
191	103
191	187
191	191
191	44
191	45
191	46
191	47
191	48
191	49
191	50
191	52
191	76
191	77
191	80
191	82
191	96
191	98
191	100
191	102
191	103
191	187
191	191
