#Receptor_resid	Ligand_resid
159	11
159	12
159	13
159	14
159	33
159	119
159	120
159	139
159	141
159	156
159	157
159	158
159	159
159	11
159	12
159	13
159	14
159	33
159	119
159	120
159	139
159	141
159	156
159	157
159	158
159	159
159	11
159	12
159	13
159	14
159	33
159	119
159	120
159	139
159	141
159	156
159	157
159	158
159	159
159	11
159	12
159	13
159	14
159	33
159	119
159	120
159	139
159	141
159	156
159	157
159	158
159	159
159	11
159	12
159	13
159	14
159	33
159	119
159	120
159	139
159	141
159	156
159	157
159	158
159	159
159	11
159	12
159	13
159	14
159	33
159	119
159	120
159	139
159	141
159	156
159	157
159	158
159	159
159	11
159	12
159	13
159	14
159	33
159	119
159	120
159	139
159	141
159	156
159	157
159	158
159	159
159	11
159	12
159	13
159	14
159	33
159	119
159	120
159	139
159	141
159	156
159	157
159	158
159	159
