#Receptor_resid	Ligand_resid
74	4
74	5
74	7
74	8
74	9
74	11
74	12
74	14
74	15
74	18
74	19
74	71
74	74
74	4
74	5
74	7
74	8
74	9
74	11
74	12
74	14
74	15
74	18
74	19
74	71
74	74
74	4
74	5
74	7
74	8
74	9
74	11
74	12
74	14
74	15
74	18
74	19
74	71
74	74
74	4
74	5
74	7
74	8
74	9
74	11
74	12
74	14
74	15
74	18
74	19
74	71
74	74
74	4
74	5
74	7
74	8
74	9
74	11
74	12
74	14
74	15
74	18
74	19
74	71
74	74
74	4
74	5
74	7
74	8
74	9
74	11
74	12
74	14
74	15
74	18
74	19
74	71
74	74
74	4
74	5
74	7
74	8
74	9
74	11
74	12
74	14
74	15
74	18
74	19
74	71
74	74
74	4
74	5
74	7
74	8
74	9
74	11
74	12
74	14
74	15
74	18
74	19
74	71
74	74
74	4
74	5
74	7
74	8
74	9
74	11
74	12
74	14
74	15
74	18
74	19
74	71
74	74
74	4
74	5
74	7
74	8
74	9
74	11
74	12
74	14
74	15
74	18
74	19
74	71
74	74
74	4
74	5
74	7
74	8
74	9
74	11
74	12
74	14
74	15
74	18
74	19
74	71
74	74
74	4
74	5
74	7
74	8
74	9
74	11
74	12
74	14
74	15
74	18
74	19
74	71
74	74
