#Receptor_resid	Ligand_resid
601	28
601	30
601	31
601	52
601	54
601	55
601	56
601	57
601	59
601	101
601	102
601	103
601	104
601	105
601	106
601	531
601	534
601	538
601	597
601	598
601	599
601	600
601	601
601	28
601	30
601	31
601	52
601	54
601	55
601	56
601	57
601	59
601	101
601	102
601	103
601	104
601	105
601	106
601	531
601	534
601	538
601	597
601	598
601	599
601	600
601	601
601	28
601	30
601	31
601	52
601	54
601	55
601	56
601	57
601	59
601	101
601	102
601	103
601	104
601	105
601	106
601	531
601	534
601	538
601	597
601	598
601	599
601	600
601	601
601	28
601	30
601	31
601	52
601	54
601	55
601	56
601	57
601	59
601	101
601	102
601	103
601	104
601	105
601	106
601	531
601	534
601	538
601	597
601	598
601	599
601	600
601	601
601	28
601	30
601	31
601	52
601	54
601	55
601	56
601	57
601	59
601	101
601	102
601	103
601	104
601	105
601	106
601	531
601	534
601	538
601	597
601	598
601	599
601	600
601	601
601	28
601	30
601	31
601	52
601	54
601	55
601	56
601	57
601	59
601	101
601	102
601	103
601	104
601	105
601	106
601	531
601	534
601	538
601	597
601	598
601	599
601	600
601	601
601	28
601	30
601	31
601	52
601	54
601	55
601	56
601	57
601	59
601	101
601	102
601	103
601	104
601	105
601	106
601	531
601	534
601	538
601	597
601	598
601	599
601	600
601	601
601	28
601	30
601	31
601	52
601	54
601	55
601	56
601	57
601	59
601	101
601	102
601	103
601	104
601	105
601	106
601	531
601	534
601	538
601	597
601	598
601	599
601	600
601	601
601	28
601	30
601	31
601	52
601	54
601	55
601	56
601	57
601	59
601	101
601	102
601	103
601	104
601	105
601	106
601	531
601	534
601	538
601	597
601	598
601	599
601	600
601	601
601	28
601	30
601	31
601	52
601	54
601	55
601	56
601	57
601	59
601	101
601	102
601	103
601	104
601	105
601	106
601	531
601	534
601	538
601	597
601	598
601	599
601	600
601	601
601	28
601	30
601	31
601	52
601	54
601	55
601	56
601	57
601	59
601	101
601	102
601	103
601	104
601	105
601	106
601	531
601	534
601	538
601	597
601	598
601	599
601	600
601	601
601	28
601	30
601	31
601	52
601	54
601	55
601	56
601	57
601	59
601	101
601	102
601	103
601	104
601	105
601	106
601	531
601	534
601	538
601	597
601	598
601	599
601	600
601	601
601	28
601	30
601	31
601	52
601	54
601	55
601	56
601	57
601	59
601	101
601	102
601	103
601	104
601	105
601	106
601	531
601	534
601	538
601	597
601	598
601	599
601	600
601	601
601	28
601	30
601	31
601	52
601	54
601	55
601	56
601	57
601	59
601	101
601	102
601	103
601	104
601	105
601	106
601	531
601	534
601	538
601	597
601	598
601	599
601	600
601	601
601	28
601	30
601	31
601	52
601	54
601	55
601	56
601	57
601	59
601	101
601	102
601	103
601	104
601	105
601	106
601	531
601	534
601	538
601	597
601	598
601	599
601	600
601	601
601	28
601	30
601	31
601	52
601	54
601	55
601	56
601	57
601	59
601	101
601	102
601	103
601	104
601	105
601	106
601	531
601	534
601	538
601	597
601	598
601	599
601	600
601	601
601	28
601	30
601	31
601	52
601	54
601	55
601	56
601	57
601	59
601	101
601	102
601	103
601	104
601	105
601	106
601	531
601	534
601	538
601	597
601	598
601	599
601	600
601	601
601	28
601	30
601	31
601	52
601	54
601	55
601	56
601	57
601	59
601	101
601	102
601	103
601	104
601	105
601	106
601	531
601	534
601	538
601	597
601	598
601	599
601	600
601	601
