#Receptor_resid	Ligand_resid
408	188
408	202
408	203
408	247
408	298
408	319
408	320
408	321
408	322
408	323
408	324
408	351
408	400
408	401
408	403
408	404
408	405
408	407
408	408
408	188
408	202
408	203
408	247
408	298
408	319
408	320
408	321
408	322
408	323
408	324
408	351
408	400
408	401
408	403
408	404
408	405
408	407
408	408
408	188
408	202
408	203
408	247
408	298
408	319
408	320
408	321
408	322
408	323
408	324
408	351
408	400
408	401
408	403
408	404
408	405
408	407
408	408
408	188
408	202
408	203
408	247
408	298
408	319
408	320
408	321
408	322
408	323
408	324
408	351
408	400
408	401
408	403
408	404
408	405
408	407
408	408
408	188
408	202
408	203
408	247
408	298
408	319
408	320
408	321
408	322
408	323
408	324
408	351
408	400
408	401
408	403
408	404
408	405
408	407
408	408
408	188
408	202
408	203
408	247
408	298
408	319
408	320
408	321
408	322
408	323
408	324
408	351
408	400
408	401
408	403
408	404
408	405
408	407
408	408
408	188
408	202
408	203
408	247
408	298
408	319
408	320
408	321
408	322
408	323
408	324
408	351
408	400
408	401
408	403
408	404
408	405
408	407
408	408
408	188
408	202
408	203
408	247
408	298
408	319
408	320
408	321
408	322
408	323
408	324
408	351
408	400
408	401
408	403
408	404
408	405
408	407
408	408
408	188
408	202
408	203
408	247
408	298
408	319
408	320
408	321
408	322
408	323
408	324
408	351
408	400
408	401
408	403
408	404
408	405
408	407
408	408
408	188
408	202
408	203
408	247
408	298
408	319
408	320
408	321
408	322
408	323
408	324
408	351
408	400
408	401
408	403
408	404
408	405
408	407
408	408
408	188
408	202
408	203
408	247
408	298
408	319
408	320
408	321
408	322
408	323
408	324
408	351
408	400
408	401
408	403
408	404
408	405
408	407
408	408
408	188
408	202
408	203
408	247
408	298
408	319
408	320
408	321
408	322
408	323
408	324
408	351
408	400
408	401
408	403
408	404
408	405
408	407
408	408
408	188
408	202
408	203
408	247
408	298
408	319
408	320
408	321
408	322
408	323
408	324
408	351
408	400
408	401
408	403
408	404
408	405
408	407
408	408
408	188
408	202
408	203
408	247
408	298
408	319
408	320
408	321
408	322
408	323
408	324
408	351
408	400
408	401
408	403
408	404
408	405
408	407
408	408
408	188
408	202
408	203
408	247
408	298
408	319
408	320
408	321
408	322
408	323
408	324
408	351
408	400
408	401
408	403
408	404
408	405
408	407
408	408
408	188
408	202
408	203
408	247
408	298
408	319
408	320
408	321
408	322
408	323
408	324
408	351
408	400
408	401
408	403
408	404
408	405
408	407
408	408
408	188
408	202
408	203
408	247
408	298
408	319
408	320
408	321
408	322
408	323
408	324
408	351
408	400
408	401
408	403
408	404
408	405
408	407
408	408
408	188
408	202
408	203
408	247
408	298
408	319
408	320
408	321
408	322
408	323
408	324
408	351
408	400
408	401
408	403
408	404
408	405
408	407
408	408
408	188
408	202
408	203
408	247
408	298
408	319
408	320
408	321
408	322
408	323
408	324
408	351
408	400
408	401
408	403
408	404
408	405
408	407
408	408
408	188
408	202
408	203
408	247
408	298
408	319
408	320
408	321
408	322
408	323
408	324
408	351
408	400
408	401
408	403
408	404
408	405
408	407
408	408
408	188
408	202
408	203
408	247
408	298
408	319
408	320
408	321
408	322
408	323
408	324
408	351
408	400
408	401
408	403
408	404
408	405
408	407
408	408
408	188
408	202
408	203
408	247
408	298
408	319
408	320
408	321
408	322
408	323
408	324
408	351
408	400
408	401
408	403
408	404
408	405
408	407
408	408
