#Receptor_resid	Ligand_resid
279	69
279	71
279	72
279	125
279	127
279	145
279	164
279	196
279	197
279	198
279	245
279	246
279	247
279	248
279	279
279	69
279	71
279	72
279	125
279	127
279	145
279	164
279	196
279	197
279	198
279	245
279	246
279	247
279	248
279	279
279	69
279	71
279	72
279	125
279	127
279	145
279	164
279	196
279	197
279	198
279	245
279	246
279	247
279	248
279	279
279	69
279	71
279	72
279	125
279	127
279	145
279	164
279	196
279	197
279	198
279	245
279	246
279	247
279	248
279	279
279	69
279	71
279	72
279	125
279	127
279	145
279	164
279	196
279	197
279	198
279	245
279	246
279	247
279	248
279	279
279	69
279	71
279	72
279	125
279	127
279	145
279	164
279	196
279	197
279	198
279	245
279	246
279	247
279	248
279	279
279	69
279	71
279	72
279	125
279	127
279	145
279	164
279	196
279	197
279	198
279	245
279	246
279	247
279	248
279	279
279	69
279	71
279	72
279	125
279	127
279	145
279	164
279	196
279	197
279	198
279	245
279	246
279	247
279	248
279	279
279	69
279	71
279	72
279	125
279	127
279	145
279	164
279	196
279	197
279	198
279	245
279	246
279	247
279	248
279	279
279	69
279	71
279	72
279	125
279	127
279	145
279	164
279	196
279	197
279	198
279	245
279	246
279	247
279	248
279	279
